neo_id,name,discovery_date,potentially_hazardous
433,433 Eros (A898 PA),1893-10-29,0
719,719 Albert (A911 TB),1911-10-04,0
887,887 Alinda (A918 AA),1918-02-09,0
1036,1036 Ganymed (A924 UB),1924-10-23,0
1221,1221 Amor (1932 EA1),1932-03-12,0
1566,1566 Icarus (1949 MA),1949-07-01,1
1580,1580 Betulia (1950 KA),1952-10-27,0
1620,1620 Geographos (1951 RA),1951-09-14,1
1627,1627 Ivar (1929 SH),1929-09-25,0
1685,1685 Toro (1948 OA),1948-07-17,0
1862,1862 Apollo (1932 HA),1930-12-13,1
1863,1863 Antinous (1948 EA),1948-03-05,0
1864,1864 Daedalus (1971 FA),1971-03-24,0
1865,1865 Cerberus (1971 UA),1971-11-10,0
1866,1866 Sisyphus (1972 XA),1955-01-26,0
1915,1915 Quetzalcoatl (1953 EA),1953-03-09,0
1916,1916 Boreas (1953 RA),1953-09-01,0
1917,1917 Cuyo (1968 AA),1954-05-06,0
1943,1943 Anteros (1973 EC),1973-03-10,0
1980,1980 Tezcatlipoca (1950 LA),1950-06-19,0
1981,1981 Midas (1973 EA),1973-03-06,1
2059,2059 Baboquivari (1963 UA),1963-11-09,0
2061,2061 Anza (1960 UA),1960-10-22,0
2062,2062 Aten (1976 AA),1955-12-17,0
2063,2063 Bacchus (1977 HB),1977-04-24,0
2100,2100 Ra-Shalom (1978 RA),1975-10-03,0
2101,2101 Adonis (1936 CA),1936-02-21,1
2102,2102 Tantalus (1975 YA),1976-01-02,1
2135,2135 Aristaeus (1977 HA),1977-04-17,1
2201,2201 Oljato (1947 XC),1931-12-03,1
2202,2202 Pele (1972 RA),1972-09-07,0
2212,2212 Hephaistos (1978 SB),1978-09-27,0
2329,2329 Orthos (1976 WA),1976-05-31,0
2340,2340 Hathor (1976 UA),1976-10-25,1
2368,2368 Beltrovata (1977 RA),1977-09-04,0
2608,2608 Seneca (1978 DA),1978-02-17,0
3102,3102 Krok (1981 QA),1981-08-21,0
3103,3103 Eger (1982 BB),1982-01-21,0
3122,3122 Florence (1981 ET3),1979-03-09,1
3199,3199 Nefertiti (1982 RA),1982-09-13,0
3200,3200 Phaethon (1983 TB),1983-10-27,1
3271,3271 Ul (1982 RB),1982-09-14,0
3288,3288 Seleucus (1982 DV),1982-02-28,0
3352,3352 McAuliffe (1981 CW),1981-02-06,0
3360,3360 Syrinx (1981 VA),1981-11-04,0
3361,3361 Orpheus (1982 HR),1982-04-24,1
3362,3362 Khufu (1984 QA),1984-08-30,1
3551,3551 Verenia (1983 RD),1983-09-07,0
3552,3552 Don Quixote (1983 SA),1983-09-10,0
3553,3553 Mera (1985 JA),1985-05-11,0
3554,3554 Amun (1986 EB),1986-03-04,0
3671,3671 Dionysus (1984 KD),1984-05-27,1
3691,3691 Bede (1982 FT),1975-06-09,0
3752,3752 Camillo (1985 PA),1976-01-28,0
3753,3753 Cruithne (1986 TO),1973-10-17,0
3757,3757 Anagolay (1982 XB),1982-12-14,1
3838,3838 Epona (1986 WA),1986-11-30,0
3908,3908 Nyx (1980 PA),1980-08-06,0
3988,3988 Huma (1986 LA),1986-06-04,0
4015,4015 Wilson-Harrington (1979 VA),1949-11-19,1
4034,4034 Vishnu (1986 PA),1986-08-02,1
4055,4055 Magellan (1985 DO2),1985-01-21,0
4179,4179 Toutatis (1989 AC),1934-02-10,1
4183,4183 Cuno (1959 LM),1959-06-05,1
4197,4197 Morpheus (1982 TA),1954-09-03,0
4257,4257 Ubasti (1987 QA),1987-08-23,0
4341,4341 Poseidon (1987 KF),1987-05-29,0
4401,4401 Aditi (1985 TB),1985-10-14,0
4450,4450 Pan (1987 SY),1937-02-06,1
4486,4486 Mithra (1987 SB),1987-01-29,1
4487,4487 Pocahontas (1987 UA),1987-09-24,0
4503,4503 Cleobulus (1989 WM),1980-12-30,0
4544,4544 Xanthus (1989 FB),1989-03-30,0
4581,4581 Asclepius (1989 FC),1989-03-31,1
4596,4596 (1981 QB),1981-08-28,0
4660,4660 Nereus (1982 DB),1981-09-30,1
4688,4688 (1980 WF),1980-11-29,0
4769,4769 Castalia (1989 PB),1989-08-01,1
4947,4947 Ninkasi (1988 TJ1),1978-02-17,0
4953,4953 (1990 MU),1974-07-21,1
4954,4954 Eric (1990 SQ),1975-06-07,0
4957,4957 Brucemurray (1990 XJ),1976-03-11,0
5011,5011 Ptah (6743 P-L),1960-09-24,1
5131,5131 (1990 BG),1990-01-24,0
5143,5143 Heracles (1991 VL),1953-11-30,0
5189,5189 (1990 UQ),1990-10-20,1
5324,5324 Lyapunov (1987 SL),1987-09-19,0
5332,5332 Davidaguilar (1990 DA),1973-10-18,0
