observatory_code,observatory_name,longitude,parallax_cos,parallax_sin
000,Greenwich,0.0,0.62411,0.77873
001,Crowborough,0.1542,0.62992,0.77411
002,Rayleigh,0.62,0.622,0.781
003,Montpellier,3.9,0.725,0.687
004,Toulouse,1.4625,0.7252,0.68627
005,Meudon,2.231,0.659891,0.748875
006,"Fabra Observatory, Barcelona",2.12417,0.751042,0.658129
007,Paris,2.33675,0.65947,0.749223
008,Algiers-Bouzareah,3.0355,0.80172,0.59578
009,Berne-Uecht,7.4417,0.6838,0.7272
010,Caussols,6.92124,0.723655,0.688135
011,Wetzikon,8.7975,0.6792,0.73161
012,Uccle,4.35821,0.633333,0.771306
013,Leiden,4.48397,0.614813,0.786029
014,Marseilles,5.39509,0.728859,0.682384
015,Utrecht,5.12929,0.61577,0.785285
016,Besancon,5.9893,0.68006,0.73076
017,Hoher List,6.84924,0.641946,0.764282
018,Dusseldorf-Bilk,6.7612,0.62779,0.77578
019,Neuchatel,6.9575,0.68331,0.72779
020,Nice,7.3004,0.72391,0.68767
021,Karlsruhe,8.3855,0.65701,0.75138
022,Pino Torinese,7.7748,0.7079,0.70409
023,Wiesbaden,8.2625,0.64299,0.76335
024,Heidelberg-Konigstuhl,8.7216,0.65211,0.7557
025,Stuttgart,9.1965,0.660205,0.748637
026,Berne-Zimmerwald,7.46511,0.684884,0.726402
027,Milan,9.1912,0.70254,0.70929
028,Wurzburg,9.9363,0.64686,0.76009
029,Hamburg-Bergedorf,10.2406,0.5964,0.8
030,"Arcetri Observatory, Florence",11.25446,0.723534,0.688012
031,Sonneberg,11.18985,0.639061,0.766705
032,Jena,11.58295,0.631624,0.772706
033,"Karl Schwarzschild Observatory, Tautenburg",11.71124,0.630904,0.773338
034,"Monte Mario Observatory, Rome",12.45246,0.745176,0.664656
035,Copenhagen,12.57592,0.565008,0.822321
036,Castel Gandolfo,12.6504,0.747247,0.66242
037,"Collurania Observatory, Teramo",13.7333,0.7366,0.67416
038,Trieste,13.7704,0.70033,0.71144
039,Lund,13.1874,0.56485,0.82243
040,"Lohrmann Institute, Dresden",13.7298,0.63019,0.77387
041,Innsbruck,11.38083,0.679862,0.731012
042,Potsdam,13.06428,0.611721,0.788439
043,"Asiago Astrophysical Observatory, Padua",11.52643,0.697656,0.714269
044,"Capodimonte Observatory, Naples",14.2559,0.75738,0.65082
045,Vienna (since 1879),16.339,0.66739,0.74227
046,"Klet Observatory, Ceske Budejovice",14.2881,0.65922,0.74965
047,Poznan,16.8782,0.61146,0.78864
048,Hradec Kralove,15.8408,0.641709,0.764432
049,Uppsala-Kvistaberg,17.6067,0.5088,0.858
050,Stockholm (before 1931),18.0582,0.51118,0.8566
051,"Royal Observatory, Cape of Good Hope",18.4766,0.83055,-0.55508
052,Stockholm-Saltsjobaden,18.3083,0.51224,0.85597
053,"Konkoly Observatory, Budapest (since 1933)",18.9642,0.67688,0.73373
054,Brorfelde,11.6654,0.56595,0.82169
055,Cracow,19.9596,0.64321,0.76316
056,Skalnate Pleso,20.23418,0.655001,0.75347
057,Belgrade,20.5133,0.71074,0.70116
058,Kaliningrad,20.495,0.57897,0.81262
059,Lomnicky Stit,20.2201,0.655,0.75364
060,Warsaw-Ostrowik,21.42,0.61572,0.78535
061,Uzhhorod,22.2985,0.662142,0.746904
062,Turku,22.2293,0.4944,0.86632
063,Turku-Tuorla,22.445,0.49496,0.86601
064,Turku-Kevola,22.75,0.49489,0.86605
065,Traunstein,12.6318,0.67222,0.738
066,Athens,23.71817,0.789321,0.611946
067,Lviv University Observatory,24.0297,0.64632,0.76058
