neo_id,diameter,absolute_magnitude,albedo,spectral_class
433,16.84,10.39,0.25,S
887,4.2,13.82,0.31,S
1036,37.675,9.17,0.238,S
1221,1.0,17.37,,
1566,1.0,16.53,0.51,
1580,5.8,14.54,0.08,C
1620,2.56,15.26,0.29,S
1627,9.12,12.79,0.15,S
1685,3.4,14.28,0.31,S
1862,1.5,16.09,0.25,
1863,2.1,15.35,0.24,S
1864,3.7,14.83,0.273,S
1865,1.2,16.77,0.22,S
1866,8.48,12.48,0.15,S
1915,0.5,18.38,0.21,S
1916,3.5,14.93,,S
1917,5.7,14.38,0.195,S
1943,2.3,15.68,0.17,S
1980,4.3,13.8,0.25,S
1981,3.4,15.28,,
2061,2.6,16.7,,
2062,1.1,17.11,0.26,S
2063,1.024,17.21,0.203,S
2100,2.3,16.24,0.13,C
2101,0.6,18.69,,
2102,1.649,16.0,0.245,
2201,1.8,15.32,0.4328,S
2212,5.7,13.45,0.163,S
2340,0.3,20.41,,C
2368,2.3,15.18,0.27,S
2608,0.9,17.48,0.21,S
3102,1.6,16.16,,
3103,1.5,15.3,0.64,X
3122,4.9,14.08,0.231,S
3199,2.2,14.99,0.42,S
3200,6.25,14.38,0.1066,
3288,2.8,15.34,0.22,S
3360,1.8,16.03,0.17,
3361,0.3,19.5,0.357,
3362,0.7,18.52,0.21,
3551,0.9,16.72,0.37,
3552,19.0,13.03,0.03,
3554,3.341,15.91,0.074,
3671,1.5,16.5,0.16,C
3691,4.3,14.93,0.515,X
3752,2.306,15.14,0.21,
3753,2.071,15.42,0.365,
3757,0.5,19.01,0.18,S
3908,1.0,17.45,0.23,
3988,0.7,17.94,,
4015,4.0,16.19,0.05,C
4034,0.42,18.5,0.52,
4055,2.49,14.9,0.31,
4179,5.4,15.29,0.405,S
4183,3.651,14.18,0.097,S
4197,1.8,14.97,0.37,S
4341,3.177,16.08,0.054,
4401,1.801,16.12,0.343,
4486,1.849,15.62,0.297,
4544,1.3,17.39,,
4660,0.33,18.75,0.55,X
4688,0.6,19.6,0.18,
4769,1.4,17.4,0.092,
4954,10.8,12.55,0.176,S
4957,3.499,15.05,0.132,S
5143,4.843,14.04,0.227,
5332,3.6,14.96,,
5370,3.6,15.23,0.037,
5381,0.935,16.72,0.507,
5587,3.57,13.89,0.32,S
5604,0.55,17.36,0.48,
5645,1.668,17.23,0.121,
5646,4.3,15.51,0.223,
5653,1.537,16.22,0.271,
5731,5.231,15.47,0.031,
5751,2.3,14.94,0.36,X
5797,0.4,18.89,,
5828,1.457,15.96,0.331,
5836,2.754,14.99,0.156,S
5863,1.345,15.83,0.488,
6050,2.884,14.94,0.257,
6053,3.72,15.1,0.14,S
6063,1.4,16.02,0.21,
6178,2.3,15.71,0.15,
6455,4.626,14.08,0.227,S
6489,0.53,19.22,0.151,
6611,1.408,16.82,0.158,
7025,0.498,18.08,0.34,
7088,1.298,16.84,0.26,
7092,6.319,15.12,0.046,
7335,1.8,17.7,0.448,
7341,0.982,16.96,0.235,S
7350,1.921,17.16,0.069,
7482,1.052,16.58,0.277,S
7822,1.602,17.34,0.075,S
7839,0.784,17.83,0.181,
7888,2.298,15.19,0.257,
7889,1.68,15.24,0.452,
8013,2.3,17.09,,
8014,0.7,18.88,,
8201,1.859,15.93,0.154,
8566,1.568,16.47,0.217,
8567,2.928,15.36,0.156,
9162,1.127,18.01,0.088,
9202,1.617,16.1,0.332,
9400,3.698,14.84,0.155,S
9856,1.0,17.09,0.3,
10115,0.938,17.14,0.318,S
10165,0.829,17.36,0.372,
10636,0.533,17.7,0.645,
11066,2.104,15.17,0.19,
11398,1.316,16.36,0.318,S
11405,3.621,15.22,0.112,S
11500,0.738,18.38,0.142,S
11885,1.298,18.52,0.033,
12538,1.663,15.96,0.232,S
12923,2.06,15.8,0.199,S
13651,0.562,17.87,0.511,S
14402,0.6,18.77,0.14,C
14827,0.9,18.81,,
16064,4.106,16.86,0.02,C
16834,1.87,15.75,0.22,S
17182,2.885,17.13,0.028,
17188,1.819,16.42,0.147,
17274,3.183,16.87,0.037,X
19356,0.91,17.0,0.34,S
19764,1.572,16.11,0.342,
20460,2.716,15.41,0.199,
20826,3.687,13.85,0.123,S
21088,2.793,14.34,0.206,
22099,0.524,18.09,0.444,S
23183,1.098,16.05,0.64,
23606,0.866,18.39,0.123,
25143,0.33,19.26,,S
25330,3.21,16.75,0.052,
25916,5.683,13.76,0.177,
26760,5.4,15.5,0.042,
26817,1.172,19.49,0.027,
27346,1.802,15.88,0.256,
29075,1.3,17.28,0.07,
33342,0.432,18.02,0.654,
35107,0.929,16.85,0.408,S
35396,0.704,17.01,0.772,X
36183,2.339,16.3,0.089,
38086,0.643,17.35,0.469,
38091,2.517,16.31,0.092,
39572,1.554,16.56,0.184,
39796,2.131,15.68,0.205,
40263,0.954,17.75,0.177,
