spkid,class,moid_anomaly_yn,e_anomaly_yn,i_anomaly_yn,anomaly_flag
20001580,AMO,N,N,Y,1
20001863,APO,Y,N,N,1
20001864,APO,Y,N,N,1
20001866,APO,N,N,Y,1
20001981,APO,N,N,Y,1
20002100,ATE,Y,N,N,1
20002102,APO,N,N,Y,1
20003200,APO,N,Y,N,1
20003552,AMO,N,Y,N,1
20003553,AMO,N,N,Y,1
20003554,ATE,Y,N,N,1
20003752,APO,N,N,Y,1
20004257,APO,N,N,Y,1
20004341,APO,Y,N,N,1
20004544,APO,Y,N,N,1
20004596,AMO,N,N,Y,1
20004957,AMO,Y,N,Y,1
20005131,APO,Y,N,Y,1
20005381,ATE,N,N,Y,1
20005496,APO,N,N,Y,1
20005660,APO,N,N,Y,1
20005786,APO,Y,N,N,1
20005828,APO,Y,N,N,1
20006053,APO,Y,N,N,1
20006455,APO,Y,N,Y,1
20007482,APO,N,N,Y,1
20007822,APO,N,N,Y,1
20007889,APO,N,N,Y,1
20008035,APO,Y,N,N,1
20008176,APO,Y,N,Y,1
20008507,APO,Y,N,N,1
20008566,APO,N,N,Y,1
20009202,APO,Y,N,Y,1
20009400,AMO,N,N,Y,1
20010150,AMO,N,N,Y,1
20010165,APO,Y,N,N,1
20010563,APO,N,N,Y,1
20011066,APO,N,N,Y,1
20012711,APO,N,N,Y,1
20016816,APO,Y,N,N,1
20016960,APO,N,Y,N,1
20018172,AMO,Y,N,N,1
20018882,AMO,Y,N,Y,1
20021088,AMO,N,N,Y,1
20023183,AMO,N,N,Y,1
20023187,APO,N,N,Y,1
20025330,APO,Y,N,N,1
20027346,AMO,Y,N,Y,1
20030997,APO,Y,N,Y,1
20032906,AMO,Y,N,N,1
20036183,AMO,N,N,Y,1
20036236,APO,Y,N,Y,1
20036284,APO,Y,N,Y,1
20037336,AMO,N,N,Y,1
20038086,APO,Y,N,N,1
20040267,APO,N,N,Y,1
20052762,APO,N,N,Y,1
20053110,AMO,Y,N,Y,1
20053430,AMO,N,N,Y,1
20053789,APO,N,N,Y,1
20054660,AMO,N,N,Y,1
20054686,AMO,Y,N,N,1
20054690,AMO,Y,N,Y,1
20055532,APO,Y,N,Y,1
20066008,APO,N,N,Y,1
20066063,ATE,N,Y,N,1
20066253,APO,Y,N,N,1
20066272,AMO,Y,N,Y,1
20066391,ATE,N,Y,Y,1
20068267,APO,N,N,Y,1
20068348,APO,Y,Y,N,1
20085770,ATE,N,N,Y,1
20085804,AMO,Y,N,N,1
20085818,APO,N,N,Y,1
20085953,ATE,N,Y,N,1
20085989,ATE,N,Y,N,1
20086067,AMO,Y,N,N,1
20086324,AMO,N,N,Y,1
20086667,ATE,Y,N,N,1
20086829,APO,Y,N,N,1
20087025,APO,Y,N,N,1
20087309,ATE,Y,N,Y,1
20087684,ATE,N,Y,N,1
20088213,ATE,Y,N,N,1
20088263,AMO,Y,N,Y,1
20088710,APO,Y,N,N,1
20088959,APO,N,N,Y,1
20089355,AMO,Y,N,N,1
20089830,AMO,N,N,Y,1
20089958,APO,N,Y,N,1
20089959,APO,N,N,Y,1
20090147,APO,Y,N,N,1
20096536,APO,Y,N,Y,1
20096744,APO,Y,N,Y,1
20099907,ATE,Y,N,N,1
20100004,APO,Y,N,N,1
20101873,AMO,Y,N,Y,1
20103067,APO,N,N,Y,1
20105140,ATE,Y,Y,Y,1
20108906,APO,Y,N,N,1
20111253,APO,N,N,Y,1
20112221,AMO,N,N,Y,1
20112985,AMO,Y,N,Y,1
20115052,AMO,Y,N,N,1
20136582,AMO,N,Y,N,1
20136773,AMO,Y,N,N,1
20136793,APO,Y,N,N,1
20136874,APO,Y,Y,N,1
20136897,AMO,N,N,Y,1
20137078,APO,Y,N,N,1
20137084,APO,Y,N,N,1
20137099,APO,Y,N,N,1
20137108,APO,N,N,Y,1
20137125,AMO,Y,N,N,1
20137158,APO,Y,N,N,1
20137170,ATE,Y,N,N,1
20137427,APO,N,N,Y,1
20137799,AMO,N,Y,N,1
20137802,AMO,Y,N,N,1
20137924,ATE,N,Y,N,1
20137925,APO,Y,N,N,1
20138095,AMO,N,N,Y,1
20138155,AMO,Y,N,N,1
20138258,ATE,N,N,Y,1
20138325,APO,Y,N,N,1
20138359,APO,Y,N,N,1
20138846,APO,Y,N,N,1
20138911,AMO,N,Y,N,1
20138925,AMO,N,N,Y,1
20138947,APO,Y,N,N,1
20139047,AMO,N,N,Y,1
20139289,APO,Y,Y,N,1
20139345,APO,Y,N,N,1
20139359,APO,N,Y,N,1
20140288,APO,N,N,Y,1
20140333,ATE,Y,N,N,1
20141079,APO,Y,N,N,1
20141484,ATE,Y,N,N,1
20141498,ATE,Y,N,N,1
20141525,APO,N,N,Y,1
20141526,APO,Y,N,N,1
20141531,ATE,Y,N,N,1
20141765,AMO,Y,N,N,1
20141851,APO,N,Y,N,1
20142555,AMO,Y,N,N,1
20142781,AMO,N,N,Y,1
20143624,APO,N,N,Y,1
20143637,APO,Y,Y,Y,1
20143649,APO,N,N,Y,1
20144332,APO,N,N,Y,1
20144861,APO,Y,N,Y,1
20144900,ATE,N,Y,Y,1
20152558,AMO,N,N,Y,1
20152742,ATE,N,Y,N,1
20152889,APO,Y,N,Y,1
20152931,ATE,Y,N,N,1
20152952,AMO,N,N,Y,1
20153195,APO,N,N,Y,1
20153201,ATE,N,Y,N,1
20153219,AMO,N,N,Y,1
20153243,APO,Y,N,Y,1
20153249,APO,N,N,Y,1
20153271,APO,Y,N,N,1
20153306,AMO,Y,N,N,1
20153315,APO,N,N,Y,1
20153415,ATE,N,N,Y,1
20153953,APO,Y,N,N,1
