spkid,full_name,pha,class
20000433,433 Eros (A898 PA),N,AMO
20000719,719 Albert (A911 TB),N,AMO
20000887,887 Alinda (A918 AA),N,AMO
20001036,1036 Ganymed (A924 UB),N,AMO
20001221,1221 Amor (1932 EA1),N,AMO
20001566,1566 Icarus (1949 MA),Y,APO
20001580,1580 Betulia (1950 KA),N,AMO
20001620,1620 Geographos (1951 RA),Y,APO
20001627,1627 Ivar (1929 SH),N,AMO
20001685,1685 Toro (1948 OA),N,APO
20001862,1862 Apollo (1932 HA),Y,APO
20001863,1863 Antinous (1948 EA),N,APO
20001864,1864 Daedalus (1971 FA),N,APO
20001865,1865 Cerberus (1971 UA),N,APO
20001866,1866 Sisyphus (1972 XA),N,APO
20001915,1915 Quetzalcoatl (1953 EA),N,AMO
20001916,1916 Boreas (1953 RA),N,AMO
20001917,1917 Cuyo (1968 AA),N,AMO
20001943,1943 Anteros (1973 EC),N,AMO
20001980,1980 Tezcatlipoca (1950 LA),N,AMO
20001981,1981 Midas (1973 EA),Y,APO
20002059,2059 Baboquivari (1963 UA),N,AMO
20002061,2061 Anza (1960 UA),N,AMO
20002062,2062 Aten (1976 AA),N,ATE
20002063,2063 Bacchus (1977 HB),N,APO
20002100,2100 Ra-Shalom (1978 RA),N,ATE
20002101,2101 Adonis (1936 CA),Y,APO
20002102,2102 Tantalus (1975 YA),Y,APO
20002135,2135 Aristaeus (1977 HA),Y,APO
20002201,2201 Oljato (1947 XC),Y,APO
20002202,2202 Pele (1972 RA),N,AMO
20002212,2212 Hephaistos (1978 SB),N,APO
20002329,2329 Orthos (1976 WA),N,APO
20002340,2340 Hathor (1976 UA),Y,ATE
20002368,2368 Beltrovata (1977 RA),N,AMO
20002608,2608 Seneca (1978 DA),N,AMO
20003102,3102 Krok (1981 QA),N,AMO
20003103,3103 Eger (1982 BB),N,APO
20003122,3122 Florence (1981 ET3),Y,AMO
20003199,3199 Nefertiti (1982 RA),N,AMO
20003200,3200 Phaethon (1983 TB),Y,APO
20003271,3271 Ul (1982 RB),N,AMO
20003288,3288 Seleucus (1982 DV),N,AMO
20003352,3352 McAuliffe (1981 CW),N,AMO
20003360,3360 Syrinx (1981 VA),N,APO
20003361,3361 Orpheus (1982 HR),Y,APO
20003362,3362 Khufu (1984 QA),Y,ATE
20003551,3551 Verenia (1983 RD),N,AMO
