id,name,potentially_hazardous,num_satellites
20000433,Eros,0,0
20000719,Albert,0,0
20000887,Alinda,0,0
20001036,Ganymed,0,0
20001221,Amor,0,0
20001566,Icarus,1,0
20001580,Betulia,0,0
20001620,Geographos,1,0
20001627,Ivar,0,0
20001685,Toro,0,0
20001862,Apollo,1,1
20001863,Antinous,0,0
20001864,Daedalus,0,0
20001865,Cerberus,0,0
20001866,Sisyphus,0,1
20001915,Quetzalcoatl,0,0
20001916,Boreas,0,0
20001917,Cuyo,0,0
20001943,Anteros,0,0
20001980,Tezcatlipoca,0,0
20001981,Midas,1,0
20002059,Baboquivari,0,0
20002061,Anza,0,0
20002062,Aten,0,0
20002063,Bacchus,0,0
20002100,Ra-Shalom,0,0
20002101,Adonis,1,0
20002102,Tantalus,1,0
20002135,Aristaeus,1,0
20002201,Oljato,1,0
20002202,Pele,0,0
20002212,Hephaistos,0,0
20002329,Orthos,0,0
20002340,Hathor,1,0
20002368,Beltrovata,0,0
20002608,Seneca,0,0
20003102,Krok,0,0
20003103,Eger,0,0
20003122,Florence,1,2
20003199,Nefertiti,0,0
20003200,Phaethon,1,0
20003271,Ul,0,0
20003288,Seleucus,0,0
20003352,McAuliffe,0,0
20003360,Syrinx,0,0
20003361,Orpheus,1,0
20003362,Khufu,1,0
20003551,Verenia,0,0
20003552,Don Quixote,0,0
20003553,Mera,0,0
20003554,Amun,0,0
20003671,Dionysus,1,1
20003691,Bede,0,0
20003752,Camillo,0,0
20003753,Cruithne,0,0
20003757,Anagolay,1,0
20003838,Epona,0,0
20003908,Nyx,0,0
20003988,Huma,0,0
20004015,Wilson-Harrington,1,0
20004034,Vishnu,1,0
20004055,Magellan,0,0
20004179,Toutatis,1,0
20004183,Cuno,1,0
20004197,Morpheus,0,0
20004257,Ubasti,0,0
20004341,Poseidon,0,0
20004401,Aditi,0,0
20004450,Pan,1,0
20004486,Mithra,1,0
20004487,Pocahontas,0,0
20004503,Cleobulus,0,0
20004544,Xanthus,0,0
20004581,Asclepius,1,0
20004660,Nereus,1,0
20004769,Castalia,1,0
20004947,Ninkasi,0,0
20004954,Eric,0,0
20004957,Brucemurray,0,0
20005011,Ptah,1,0
20005143,Heracles,0,1
20005324,Lyapunov,0,0
20005332,Davidaguilar,0,0
20005370,Taranis,0,0
20005381,Sekhmet,0,1
20005620,Jasonwheeler,0,0
20005626,Melissabrucker,0,0
20005653,Camarillo,0,0
20005731,Zeus,0,0
20005751,Zao,0,0
20005786,Talos,0,0
20005797,Bivoj,0,0
20005863,Tara,0,0
20005869,Tanith,0,0
20005879,Almeria,0,0
20006050,Miwablock,0,0
20006063,Jason,0,0
20006239,Minos,1,0
20006456,Golombek,0,0
20006489,Golevka,1,0
20006569,Ondaatje,0,0
20007088,Ishtar,0,1
20007092,Cadmus,0,0
20007336,Saunders,0,0
20007358,Oze,0,0
20007480,Norwan,0,0
20008013,Gordonmoore,0,0
20008034,Akka,0,0
20008709,Kadlu,0,0
20009162,Kwiila,0,0
20009172,Abhramu,0,0
20009950,ESA,0,0
20010563,Izhdubar,0,0
20011066,Sigurd,0,0
20011284,Belenus,0,0
20011311,Peleus,0,0
20011500,Tomaiyowit,1,0
20011885,Summanus,0,0
20012711,Tukmit,0,0
20012923,Zephyr,1,0
20013553,Masaakikoyama,0,0
20014827,Hypnos,1,0
20015745,Yuliya,0,1
20015817,Lucianotesi,0,0
20016064,Davidharvey,0,0
20016912,Rhiannon,0,0
20018106,Blume,0,0
20020460,Robwhiteley,0,0
20021088,Chelyabinsk,0,0
20024761,Ahau,0,0
20025143,Itokawa,1,0
20037655,Illapa,1,0
20038086,Beowulf,0,0
20039557,Gielgud,0,0
20052387,Huitzilopochtli,0,0
20053435,Leonard,0,0
20054509,YORP,0,0
20065803,Didymos,1,1
20066391,Moshup,1,1
20069230,Hermes,1,1
20085585,Mjolnir,1,0
20096189,Pygmalion,0,0
20098943,Torifune,0,0
20099942,Apophis,1,0
20101955,Bennu,1,0
20136795,Tatsunokingo,1,0
20136818,Selqet,0,0
20137052,Tjelvar,0,0
20154991,Vinciguerra,0,0
20161989,Cacus,1,0
20162011,Konnohmaru,0,0
20162173,Ryugu,1,0
20163693,Atira,0,1
20164207,Cardea,1,0
20164215,Doloreshill,0,0
20189011,Ogmios,0,0
20217628,Lugh,1,0
20280244,Ati,0,0
20306367,Nut,0,0
20314082,Dryope,1,0
20326290,Akhenaten,1,0
20326732,Nice,0,1
20343158,Marsyas,0,0
20355256,Margarethekahn,0,0
20367943,Duende,0,0
20398188,Agni,1,0
20428694,Saule,0,0
20429733,Gilbertbaker,0,0
20452307,Manawydan,0,0
20469219,Kamo`oalewa,0,0
20471926,Jormungandr,0,0
20481984,Cernunnos,0,0
20506074,Svarog,1,0
20520585,Saci,0,0
20524522,Zoozve,1,0
20594913,'Aylo'chaxnim,0,0
20605911,Cecily,0,0
20614470,Flordeneu,1,0
20620096,Curupira,1,0
20622577,Miorita,0,0
20679829,Sucellos,0,0
20785648,Likho,0,0
1000036,Halley,0,0
1000025,Encke,0,0
1000504,Biela,0,0
1000505,Brorsen,0,0
1000069,Pons-Winnecke,0,0
1000099,Tuttle,0,0
1000068,Pons-Brooks,0,0
1000066,Olbers,0,0
1000027,Finlay,0,0
1000144,Perrine-Mrkos,0,0
1000212,Westphal,0,0
1000032,Giacobini-Zinner,0,0
1000009,Brorsen-Metcalf,0,0
1000077,Schaumasse,0,0
1000034,Grigg-Skjellerup,0,0
1000016,Crommelin,0,0
1000284,Gale,0,0
1000043,Herschel-Rigollet,0,0
1000100,Tuttle-Giacobini-Kresak,0,0
1000045,Honda-Mrkos-Pajdusakova,0,0
1000109,Wirtanen,0,0
1000095,Tempel-Tuttle,0,0
1000021,du Toit,0,0
1000012,Churyumov-Gerasimenko,0,0
1000020,Denning-Fujikawa,0,0
1000394,Schwassmann-Wachmann,0,0
1003777,Schwassmann-Wachmann,0,0
1000320,Schwassmann-Wachmann,0,0
1000081,Schwassmann-Wachmann,0,0
1000324,Schwassmann-Wachmann,0,0
1002326,Schwassmann-Wachmann,0,0
1002327,Schwassmann-Wachmann,0,0
1002336,Schwassmann-Wachmann,0,0
1002332,Schwassmann-Wachmann,0,0
1002334,Schwassmann-Wachmann,0,0
1002331,Schwassmann-Wachmann,0,0
1002338,Schwassmann-Wachmann,0,0
1002335,Schwassmann-Wachmann,0,0
1002333,Schwassmann-Wachmann,0,0
1002339,Schwassmann-Wachmann,0,0
1002340,Schwassmann-Wachmann,0,0
1002341,Schwassmann-Wachmann,0,0
1002342,Schwassmann-Wachmann,0,0
1002343,Schwassmann-Wachmann,0,0
1002344,Schwassmann-Wachmann,0,0
1002345,Schwassmann-Wachmann,0,0
