spkid,data_arc,condition_code
20000433,46582,0
20000719,41810,0
20000887,39281,0
20001036,37053,0
20001221,33947,0
20001566,27807,0
20001580,26710,0
20001620,27232,0
20001627,34962,0
20001685,28382,0
20001862,34796,0
20001863,28517,0
20001864,20100,0
20001865,19746,0
20001866,26001,0
20001915,24702,0
20001916,26457,0
20001917,26257,0
20001943,19383,0
20001980,27681,0
20001981,19295,0
20002059,22440,0
20002061,23892,0
20002062,23339,0
20002063,17584,0
20002100,18358,0
20002101,32656,0
20002102,18356,0
20002135,15749,1
20002201,34275,0
20002202,19190,0
20002212,17356,0
20002329,18174,0
20002340,16477,0
20002368,17744,0
20002608,16284,1
20003102,16182,0
20003103,16145,0
20003122,17188,0
20003199,15656,0
20003200,15468,0
20003271,15854,0
20003288,15707,0
20003352,16240,0
20003360,16137,0
20003361,15915,0
20003362,7394,1
20003551,15268,0
20003552,15547,0
20003553,14686,0
20003554,12044,0
20003671,15278,0
20003691,18500,0
20003752,18145,0
20003753,19009,0
20003757,15208,0
20003838,14334,0
20003908,16395,0
20003988,14534,0
20004015,27524,0
20004034,14206,0
20004055,15030,0
20004179,33641,0
20004183,24386,0
20004197,25868,0
20004257,14105,0
20004341,13943,0
20004401,13625,0
20004450,32459,0
20004486,14311,0
20004487,13752,0
20004503,16486,0
20004544,13474,0
20004581,11706,0
20004596,16282,0
20004660,15434,0
20004688,14739,0
20004769,13391,0
20004947,17569,0
20004953,18686,0
20004954,18562,0
20004957,18271,0
20005011,23834,0
20005131,13219,0
20005143,26330,0
20005189,12870,0
20005324,13671,0
20005332,18899,0
20005370,14437,0
20005381,12493,0
20005496,19252,0
20005587,26347,0
20005590,2218,2
20005604,14963,0
20005620,25779,0
20005626,20154,0
20005645,18307,0
20005646,13094,0
20005653,18857,0
20005660,18360,0
20005693,15425,0
20005731,13554,0
20005751,13534,0
20005786,12485,0
20005797,15950,0
20005828,12853,0
20005836,16387,0
20005863,15576,0
20005869,16826,0
20005879,12195,0
20006037,13260,0
20006047,13449,0
20006050,26695,0
20006053,17865,0
20006063,23683,0
20006178,17602,0
20006239,15707,0
20006455,13060,0
20006456,16955,0
20006489,8968,0
20006491,11898,0
20006569,15430,0
20006611,15596,0
20007025,10919,0
20007088,16431,0
20007092,16492,0
20007236,13249,0
20007335,13444,0
20007336,15430,0
20007341,11636,0
20007350,22185,0
20007358,24214,0
20007474,12732,0
20007480,15764,0
20007482,18595,0
20007753,13289,0
20007822,11845,0
20007839,10752,0
20007888,12427,0
20007889,17560,0
20007977,25942,0
20008013,27168,0
20008014,13005,0
20008034,12327,0
20008035,12208,0
20008037,17007,0
20008176,12475,0
20008201,16137,0
20008507,12820,0
20008566,15282,0
20008567,25599,0
20008709,12968,0
20009058,12273,0
20009162,13862,0
20009172,13364,0
20009202,11713,0
20009400,12430,0
20009856,12747,0
20009950,12915,0
20010115,26031,0
20010145,11729,0
20010150,11505,0
20010165,12767,0
20010302,13393,0
20010563,11187,0
20010636,25608,0
20010860,10807,0
20011054,31957,0
20011066,18013,0
20011284,27208,0
20011311,11785,0
20011398,15796,0
20011405,16953,0
20011500,13157,0
20011885,12032,0
20012538,13981,0
20012711,12865,0
20012923,25904,0
20013553,17006,0
20013651,16820,0
20014402,12641,0
20014827,14112,0
20015745,15849,0
20015817,11536,0
20016064,10726,0
20016636,11814,0
20016657,11538,0
20016816,10279,0
20016834,13630,0
20016912,12256,0
20016960,15443,0
20017181,25212,0
20017182,17771,0
20017188,12998,0
20017274,25691,0
20017511,12119,0
20018106,16923,0
20018109,26852,0
20018172,17094,0
20018736,26234,0
20018882,26330,0
20019356,11893,0
20019764,12990,0
20020086,10789,0
20020236,10162,0
20020255,9044,0
20020425,2448,1
20020429,9892,0
20020460,25949,0
20020790,11747,0
20020826,26374,0
20021088,13212,0
20021277,12548,0
20021374,18416,0
20022099,11016,0
20022753,25672,0
20022771,9843,0
20023183,11622,0
20023187,13027,0
20023548,11207,0
20023606,14820,0
20023714,10261,0
20024443,11315,0
20024445,12502,0
20024475,9286,0
20024761,11481,0
20025143,9588,0
20025330,16939,0
20025916,10004,0
20026166,26360,0
20026310,26451,0
20026379,8407,0
20026663,18817,0
20026760,10857,0
20026817,12226,0
20027002,9663,0
20027031,26813,0
20027346,17380,0
20029075,27458,0
20030825,12899,0
20030997,10648,0
20031210,25409,0
20031221,9950,0
20031345,16970,0
20031346,10040,0
20031662,8765,0
20031669,10658,0
20032906,14569,0
20033342,9571,0
20034613,33622,0
20035107,12566,0
20035396,13144,0
20035432,8861,0
20035670,1238,0
20036017,9451,0
20036183,9951,0
20036236,16868,0
20036284,9219,0
20037336,17771,0
20037638,10788,0
20037655,10923,0
20038071,8690,0
20038086,12384,0
20038091,16581,0
20038239,9339,0
20039557,12384,0
20039565,27140,0
20039572,11718,0
20039796,14196,0
20040263,13786,0
20040267,25619,0
20040329,9771,0
20041429,10197,0
20041440,9686,0
20042286,17921,0
20048603,13641,0
20052340,16817,0
20052381,11843,0
20052387,11930,0
20052689,9826,0
20052750,11643,0
20052760,9768,0
20052761,9773,0
20052762,26356,0
20052768,14014,0
20053110,9759,0
20053319,9853,0
20053409,7620,0
20053426,8871,0
20053429,9524,0
20053430,8861,0
20053435,18817,0
20053550,12130,0
20053789,25266,0
20054071,13697,0
20054401,13280,0
20054509,1826,0
20054660,9093,0
20054686,13364,0
20054690,26770,0
20054789,17221,0
20055408,16722,0
20055532,26387,0
20065674,13661,0
20065679,25910,0
20065690,12418,0
20065706,12021,0
20065717,12224,0
20065733,11984,0
20065803,896,0
20065909,9149,0
20065996,11113,0
20066008,10714,0
20066063,9064,0
20066146,15321,0
20066251,14722,0
20066253,8854,0
20066272,9546,0
20066391,9911,0
20066400,13942,0
20066407,15562,0
20066959,8890,0
20067367,17602,0
20067381,9287,0
20067399,26793,0
20068031,11597,0
20068063,13318,0
20068216,8878,0
20068267,9085,0
20068278,10565,0
20068346,16882,0
20068347,7444,0
20068348,25951,0
20068350,25984,0
20068359,11099,0
20068372,8559,0
20068548,11630,0
20068950,24191,0
20069230,32025,0
20085182,12373,0
20085184,17503,0
20085236,11938,0
20085275,11572,0
20085490,16055,0
20085585,2039,0
20085628,10179,0
20085640,7584,0
20085709,9907,0
20085713,9520,0
20085770,12791,0
20085774,12846,0
20085804,13280,0
20085818,11841,0
20085839,11885,0
20085867,11097,0
20085938,9259,0
20085953,20084,0
20085989,12805,0
20085990,9026,0
20086039,9788,0
20086067,13141,0
20086324,9270,0
20086326,16535,0
20086450,9560,0
20086666,9223,0
20086667,13186,0
20086819,11324,0
20086829,18665,0
20086878,15386,0
20087024,17201,0
20087025,9297,0
20087309,18320,0
20087311,15854,0
20087684,17573,0
20088188,12423,0
20088213,9207,0
20088254,16796,0
20088263,9888,0
20088264,9986,0
20088710,26004,0
20088959,7342,0
20089136,8874,0
20089355,17449,0
20089830,16016,0
20089958,9405,0
20089959,26202,0
20090075,25657,0
20090147,13190,0
20090367,15319,0
20090373,9929,0
20090403,13280,0
20090416,11900,0
20096189,14227,0
20096315,10605,0
20096536,17963,0
20096590,12365,0
20096631,14005,0
20096744,9727,0
20097725,9299,0
20098943,15801,0
20099248,12705,0
20099799,13582,0
20099907,13198,0
20099935,25980,0
20099942,6599,0
20100004,15501,0
20100085,15931,0
20100756,13416,0
20100926,16893,0
20101869,7238,0
20101873,15540,0
20101955,7693,0
20102873,16571,0
20103067,11244,0
20105140,26681,0
20105141,16954,0
20106538,9102,0
20106589,9158,0
20108519,12897,0
20108906,8132,0
20111253,9550,0
20112221,11226,0
20112985,14863,0
20115052,15772,0
20136564,16947,0
20136582,12427,0
20136617,13277,0
20136618,11730,0
20136635,11220,0
20136745,10708,0
20136770,9304,0
20136773,10315,0
20136793,9882,0
20136795,10451,0
20136818,7982,0
20136839,13196,0
20136849,9868,0
20136874,11011,0
20136897,10075,0
20136900,9169,0
20136923,14385,0
20136993,7882,0
20137032,11761,0
20137044,9936,0
20137052,9914,0
20137062,14033,0
20137064,8942,0
20137078,9916,0
20137084,11404,0
20137099,8814,0
20137108,24459,0
20137120,9487,0
20137125,9692,0
20137126,9840,0
20137158,10171,0
20137170,9847,0
20137175,9787,0
20137199,16979,0
20137427,9477,0
20137671,17491,0
20137799,12799,0
20137802,26011,0
20137805,9469,0
20137911,9145,0
20137924,10591,0
20137925,26365,0
20138013,15344,0
20138095,14599,0
20138127,9477,0
20138155,12460,0
20138175,9442,0
20138205,15648,0
20138258,9165,0
20138325,9144,0
20138359,8475,0
20138404,14915,0
20138524,9129,0
20138727,7656,0
20138815,8790,1
20138846,13635,0
20138847,15698,0
20138852,9187,0
20138859,9072,0
20138877,9271,0
20138883,15371,0
20138893,9121,0
20138911,15162,0
20138925,11945,0
20138937,9891,0
20138947,9136,0
20138971,9143,0
20139047,8980,0
20139056,8993,0
20139211,9574,0
20139289,9069,0
20139345,8527,0
20139359,8772,0
20139622,8289,0
20140039,8475,0
20140158,8823,0
20140288,10719,0
20140333,8404,0
20140928,18015,0
20141018,12157,0
20141052,13550,0
20141053,8485,0
20141056,8738,0
20141078,10245,0
20141079,9957,0
20141354,13678,0
20141424,2001,1
20141432,3746,0
20141447,8587,0
20141484,8803,0
20141495,8785,0
20141498,11046,0
20141525,8116,0
20141526,4308,1
20141527,11307,0
20141531,7962,0
20141593,14780,0
20141614,8663,0
20141670,8679,0
20141761,7854,0
20141765,13820,0
20141851,9168,0
20141874,9062,0
20142040,11697,0
20142348,8978,0
20142464,12186,0
20142555,7763,0
20142561,8141,0
20142563,10455,0
20142781,8743,0
20143381,15742,0
20143404,16352,0
20143409,8334,0
20143487,13542,0
20143527,8176,0
20143624,8260,0
20143637,8010,0
20143643,8917,0
20143649,7198,0
20143651,16267,0
20143678,16720,0
20143947,8772,0
20143992,15033,0
20144332,25914,0
20144411,9074,0
20144861,8781,0
20144898,8800,0
20144900,7708,0
20144901,7783,0
20144922,17812,0
20145656,23802,0
20152558,12330,0
20152560,12844,0
20152561,15592,0
20152563,25988,0
20152564,11554,0
20152575,11485,0
20152637,9209,0
20152664,11529,0
20152667,25578,0
20152671,9399,0
20152679,19853,0
20152680,12844,0
20152685,9961,0
20152742,10285,0
20152754,9532,0
20152756,17438,0
20152770,13198,0
20152787,9000,0
20152828,9441,0
20152889,10248,0
20152895,25134,0
20152931,9511,0
20152941,9158,0
20152942,9401,0
20152952,12428,0
20152964,11052,0
20152978,9400,0
20153002,9163,0
20153195,8717,0
20153201,8479,0
20153219,7787,0
20153220,10070,0
20153243,8834,0
20153249,13367,0
20153267,11421,0
20153271,9168,0
20153306,11585,0
20153311,13376,0
20153315,8272,0
20153349,8542,0
20153415,10003,0
20153460,8848,0
20153591,12672,0
20153792,8710,0
20153814,10614,0
20153842,9456,0
20153951,8648,0
20153953,18576,0
20153957,7486,0
20153958,15330,0
20154007,14861,0
20154019,1269,1
20154020,8687,0
20154029,8481,0
20154035,8813,0
20154144,8711,0
20154229,9148,0
20154244,11109,0
20154268,8082,0
20154269,8459,0
20154275,7586,0
20154276,8344,0
20154278,12513,0
20154300,8823,0
20154302,7997,0
20154330,14263,0
20154347,10241,0
20154453,8179,0
20154555,8354,0
20154589,9195,0
20154590,9980,0
20154631,8397,0
20154652,5817,0
20154656,7996,0
20154658,9107,0
20154715,8480,0
20154807,17413,0
20154988,9509,0
20154991,13742,0
20154993,8371,0
20155110,15052,0
20155140,15384,0
20155334,15493,0
20155336,8354,0
20155338,1700,0
20155340,8798,0
20155341,16555,0
20159399,10050,0
20159402,9604,0
20159454,9180,0
20159459,9424,0
20159467,9368,0
20159495,13348,0
20159504,9222,0
20159518,8771,0
20159533,10372,0
20159555,8515,0
20159560,8891,0
20159608,8767,0
20159609,8575,0
20159635,8555,0
20159677,3817,0
20159686,10198,0
20159699,8123,0
20159856,15882,0
20159857,11370,0
20159923,10661,0
20159928,13852,0
20159929,18100,0
20161989,16425,0
20161995,15537,0
20161998,13434,0
20161999,12719,0
20162000,13001,0
20162004,25965,0
20162011,10714,0
20162015,3301,1
20162038,10988,0
20162039,10849,0
20162058,12246,0
20162063,10253,0
20162080,16461,0
20162082,9360,0
20162116,8971,0
20162117,9937,0
20162120,9833,0
20162142,9902,0
20162149,9676,0
20162157,8891,0
20162161,7688,0
20162162,9047,0
20162168,9774,0
20162173,14345,0
20162181,16459,0
20162183,6765,0
20162186,12598,0
20162195,8001,0
20162196,9324,0
20162210,7745,0
20162214,9331,0
20162215,9919,0
20162269,11728,0
20162273,11789,0
20162361,11715,0
20162385,9546,0
20162416,1944,0
20162421,17851,0
20162422,8820,0
20162433,9047,0
20162452,15174,0
20162463,8095,0
20162470,7324,0
20162472,9007,0
20162474,8225,0
20162483,8412,0
20162510,8644,0
20162566,9145,0
20162567,9145,0
20162581,14351,0
20162635,9321,0
20162679,10658,0
20162687,8630,0
20162694,8058,0
20162695,1295,1
20162698,9189,0
20162723,11606,0
20162740,8441,0
20162741,11757,0
20162781,12599,0
20162783,8740,0
20162825,8023,0
20162854,8533,0
20162873,8222,0
20162882,9477,0
20162900,9135,0
20162903,8982,0
20162911,8812,0
20162913,12374,0
20162922,2215,0
20162926,2022,1
20162979,8417,0
20162980,17520,0
20162998,11866,0
20163000,10327,0
20163001,5315,0
20163014,13155,0
20163015,2006,0
20163023,8428,0
20163026,7980,0
20163051,17590,0
20163067,1108,1
20163070,7483,0
20163081,12832,0
20163132,8765,0
20163191,8000,0
20163243,8783,0
20163249,8367,0
20163250,13241,0
20163252,9651,0
20163295,2775,0
20163335,8428,0
20163348,8435,0
20163364,8734,0
20163373,10636,0
20163412,10778,0
20163454,7488,0
20163667,3003,0
20163679,8313,0
20163683,8039,0
