observation_id,id,discovering_org,first_obs,latest_obs,num_obs
1,20000433,Giorgini,1893-10-29,2021-05-13,9130
2,20000719,Otto Matic,1911-10-04,2026-03-24,2125
3,20000887,Otto Matic,1918-02-09,2025-08-27,5880
4,20001036,Otto Matic,1924-10-23,2026-04-04,13207
5,20001221,Otto Matic,1932-03-12,2025-02-19,686
6,20001566,Otto Matic,1949-07-01,2025-08-18,1792
7,20001580,Otto Matic,1952-10-27,2025-12-13,2249
8,20001620,Otto Matic,1951-09-14,2026-04-05,9043
9,20001627,Otto Matic,1929-09-25,2025-06-15,14430
10,20001685,Otto Matic,1948-07-17,2026-04-01,5204
11,20001862,Otto Matic,1930-12-13,2026-03-20,3667
12,20001863,Otto Matic,1948-03-05,2026-04-02,1698
13,20001864,Otto Matic,1971-03-24,2026-04-04,6597
14,20001865,Otto Matic,1971-11-10,2025-12-02,2494
15,20001866,Otto Matic,1955-01-26,2026-04-04,9939
16,20001915,Otto Matic,1953-03-09,2020-10-25,55
17,20001916,Otto Matic,1953-09-01,2026-02-07,4137
18,20001917,Otto Matic,1954-05-06,2026-03-26,4133
19,20001943,Otto Matic,1973-03-10,2026-04-04,6322
20,20001980,Otto Matic,1950-06-19,2026-04-02,8290
21,20001981,Otto Matic,1973-03-06,2026-01-02,2498
22,20002059,Otto Matic,1963-11-09,2025-04-17,1550
23,20002061,Otto Matic,1960-10-22,2026-03-22,2029
24,20002062,Giorgini,1955-12-17,2019-11-10,1024
25,20002063,Otto Matic,1977-04-24,2025-06-15,1561
26,20002100,Otto Matic,1975-10-03,2026-01-06,4167
27,20002101,Otto Matic,1936-02-21,2025-07-19,149
28,20002102,Otto Matic,1976-01-02,2026-04-05,2217
29,20002135,Otto Matic,1977-04-17,2020-05-30,61
30,20002201,Otto Matic,1931-12-03,2025-10-05,1861
31,20002202,Otto Matic,1972-09-07,2025-03-23,1407
32,20002212,Otto Matic,1978-09-27,2026-04-04,5069
33,20002329,Otto Matic,1976-05-31,2026-03-04,1999
34,20002340,Giorgini,1976-10-25,2021-12-05,572
35,20002368,Otto Matic,1977-09-04,2026-04-04,2763
36,20002608,Otto Matic,1978-02-17,2022-09-18,83
37,20003102,Otto Matic,1981-08-21,2025-12-10,2950
38,20003103,Otto Matic,1982-01-21,2026-04-05,8574
39,20003122,Otto Matic,1979-03-09,2026-03-30,10081
40,20003199,Otto Matic,1982-09-13,2025-07-25,4138
41,20003200,Otto Matic,1983-10-27,2026-03-03,8519
42,20003271,Otto Matic,1982-09-14,2026-02-09,315
43,20003288,Otto Matic,1982-02-28,2025-03-01,2815
44,20003352,Otto Matic,1981-02-06,2025-07-25,3125
45,20003360,Otto Matic,1981-11-04,2026-01-09,674
46,20003361,Otto Matic,1982-04-24,2025-11-19,3208
47,20003362,Otto Matic,1984-08-30,2004-11-27,262
48,20003551,Otto Matic,1983-09-07,2025-06-26,667
49,20003552,Otto Matic,1983-09-10,2026-04-04,1586
50,20003553,Otto Matic,1985-05-11,2025-07-26,2315
51,20003554,Otto Matic,1986-03-04,2019-02-23,1979
52,20003671,Otto Matic,1984-05-27,2026-03-26,1175
53,20003691,Otto Matic,1975-06-09,2026-02-01,8356
54,20003752,Otto Matic,1976-01-28,2025-10-02,3246
55,20003753,Otto Matic,1973-10-17,2025-11-02,1681
56,20003757,Otto Matic,1982-12-14,2024-08-03,211
57,20003838,Otto Matic,1986-11-30,2026-02-27,2458
58,20003908,Giorgini,1980-08-06,2025-06-26,1985
59,20003988,Otto Matic,1986-06-04,2026-03-20,707
60,20004015,Otto Matic,1949-11-19,2025-03-29,1522
61,20004034,Otto Matic,1986-08-02,2025-06-24,1298
62,20004055,Otto Matic,1985-01-21,2026-03-17,11535
63,20004179,Otto Matic,1934-02-10,2026-03-20,7125
64,20004183,Otto Matic,1959-06-05,2026-03-11,5097
65,20004197,Otto Matic,1954-09-03,2025-06-30,1212
66,20004257,Otto Matic,1987-08-23,2026-04-05,3039
67,20004341,Otto Matic,1987-05-29,2025-07-31,936
68,20004401,Otto Matic,1985-10-14,2023-02-02,1320
69,20004450,Otto Matic,1937-02-06,2025-12-20,1594
70,20004486,Otto Matic,1987-01-29,2026-04-05,2062
71,20004487,Otto Matic,1987-09-24,2025-05-19,814
72,20004503,Otto Matic,1980-12-30,2026-02-18,1413
73,20004544,Otto Matic,1989-03-30,2026-02-18,2928
74,20004581,Otto Matic,1989-03-31,2021-04-18,424
75,20004660,Otto Matic,1981-09-30,2024-01-02,4994
76,20004769,Otto Matic,1989-08-01,2026-03-31,658
77,20004947,Otto Matic,1978-02-17,2026-03-26,976
78,20004954,Otto Matic,1975-06-07,2026-04-02,7467
79,20004957,Otto Matic,1976-03-11,2026-03-20,2654
80,20005011,Otto Matic,1960-09-24,2025-12-26,774
81,20005143,Otto Matic,1953-11-30,2026-01-01,5205
82,20005324,Otto Matic,1987-09-19,2025-02-22,394
83,20005332,Otto Matic,1973-10-18,2025-07-16,7432
84,20005370,Otto Matic,1986-08-11,2026-02-19,362
85,20005381,Otto Matic,1991-05-14,2025-07-27,903
86,20005620,Otto Matic,1955-05-16,2025-12-13,934
87,20005626,Otto Matic,1970-09-08,2025-11-12,4610
88,20005653,Otto Matic,1974-03-24,2025-11-08,3929
89,20005731,Otto Matic,1988-09-13,2025-10-23,1604
90,20005751,Otto Matic,1989-03-10,2026-03-30,2885
91,20005786,Otto Matic,1991-09-03,2025-11-08,1671
92,20005797,Otto Matic,1980-01-16,2023-09-17,458
93,20005863,Otto Matic,1983-08-12,2026-04-04,1703
94,20005869,Otto Matic,1977-02-16,2023-03-13,963
95,20005879,Otto Matic,1992-02-08,2025-06-29,1878
96,20006050,Otto Matic,1953-02-15,2026-03-19,3274
97,20006063,Otto Matic,1960-10-22,2025-08-25,1328
98,20006239,Otto Matic,1983-01-09,2026-01-10,2113
99,20006456,Otto Matic,1979-08-22,2026-01-22,2139
100,20006489,Otto Matic,1991-04-15,2015-11-03,1017
101,20006569,Otto Matic,1983-12-29,2026-03-28,6080
102,20007088,Otto Matic,1981-03-03,2026-02-26,1466
103,20007092,Otto Matic,1980-06-02,2025-07-28,1458
104,20007336,Otto Matic,1982-10-20,2025-01-17,1343
105,20007358,Otto Matic,1959-12-02,2026-03-19,8605
106,20007480,Otto Matic,1982-05-01,2025-06-28,1286
107,20008013,Otto Matic,1951-09-01,2026-01-18,817
108,20008034,Otto Matic,1992-05-21,2026-02-19,742
109,20008709,Otto Matic,1990-09-23,2026-03-26,601
110,20009162,Otto Matic,1987-07-18,2025-06-30,786
111,20009172,Otto Matic,1989-07-07,2026-02-07,469
112,20009950,Otto Matic,1990-11-08,2026-03-19,847
113,20010563,Otto Matic,1991-11-13,2022-06-30,659
114,20011066,Otto Matic,1976-04-01,2025-07-26,2680
115,20011284,Otto Matic,1950-12-09,2025-06-06,792
116,20011311,Otto Matic,1993-12-10,2026-03-17,1193
117,20011500,Otto Matic,1989-10-25,2025-11-02,1235
118,20011885,Otto Matic,1990-09-25,2023-09-04,397
119,20012711,Otto Matic,1991-01-12,2026-04-03,3593
120,20012923,Otto Matic,1955-04-21,2026-03-23,3005
121,20013553,Otto Matic,1979-06-24,2026-01-14,2176
122,20014827,Otto Matic,1986-05-04,2024-12-22,378
123,20015745,Otto Matic,1982-07-27,2025-12-17,1720
124,20015817,Otto Matic,1994-08-29,2026-03-30,1980
125,20016064,Otto Matic,1994-09-01,2024-01-13,1054
126,20016912,Otto Matic,1992-08-29,2026-03-20,325
127,20018106,Otto Matic,1977-09-04,2024-01-04,585
128,20020460,Otto Matic,1954-12-30,2026-01-15,5537
