id,eccentricity,inclination,orbital_period,orbit_class,earth_moid
20000433,0.2228,10.83,1.76,AMO,0.148
20000719,0.5466,11.57,4.28,AMO,0.201
20000887,0.5712,9.40,3.89,AMO,0.0797
20001036,0.5332,26.68,4.35,AMO,0.343
20001221,0.4346,11.87,2.66,AMO,0.108
20001566,0.8270,22.80,1.12,APO,0.0335
20001580,0.4876,52.19,3.25,AMO,0.132
20001620,0.3355,13.34,1.39,APO,0.0294
20001627,0.3973,8.46,2.54,AMO,0.109
20001685,0.4360,9.38,1.6,APO,0.0511
20001862,0.5599,6.35,1.78,APO,0.026
20001863,0.6063,18.38,3.4,APO,0.187
20001864,0.6144,22.22,1.77,APO,0.269
20001865,0.4669,16.10,1.12,APO,0.157
20001866,0.5381,41.21,2.61,APO,0.104
20001915,0.5702,20.40,4.06,AMO,0.109
20001916,0.4492,12.88,3.43,AMO,0.252
20001917,0.5055,23.96,3.15,AMO,0.0717
20001943,0.2559,8.71,1.71,AMO,0.0609
20001980,0.3647,26.87,2.23,AMO,0.245
20001981,0.6505,39.82,2.37,APO,0.00277
20002059,0.5316,11.02,4.29,AMO,0.245
20002061,0.5356,3.80,3.41,AMO,0.0558
20002062,0.1829,18.94,0.951,ATE,0.113
20002063,0.3494,9.43,1.12,APO,0.0667
20002100,0.4365,15.76,0.759,ATE,0.15
20002101,0.7641,1.32,2.57,APO,0.0115
20002102,0.2994,64.01,1.47,APO,0.0426
20002135,0.5031,23.07,2.02,APO,0.00853
20002201,0.7107,2.52,3.22,APO,0.00278
20002202,0.5129,8.74,3.47,AMO,0.143
20002212,0.8347,11.20,3.19,APO,0.112
20002329,0.6533,24.46,3.74,APO,0.0936
20002340,0.4499,5.86,0.775,ATE,0.00663
20002368,0.4134,5.22,3.05,AMO,0.231
20002608,0.5647,14.43,4.03,AMO,0.153
20003102,0.4492,8.44,3.16,AMO,0.183
20003103,0.3542,20.93,1.66,APO,0.0786
20003122,0.4232,22.14,2.35,AMO,0.0436
20003199,0.2841,32.96,1.98,AMO,0.215
20003200,0.8897,22.31,1.43,APO,0.0187
20003271,0.3955,25.07,3.05,AMO,0.276
20003288,0.4545,5.93,2.9,AMO,0.105
20003352,0.3691,4.77,2.58,AMO,0.202
20003360,0.7474,21.07,3.87,APO,0.11
20003361,0.3232,2.65,1.33,APO,0.0146
20003362,0.4685,9.92,0.984,ATE,0.013
20003551,0.4868,9.51,3.03,AMO,0.0749
20003552,0.7073,31.05,8.82,AMO,0.342
20003553,0.3200,36.77,2.11,AMO,0.293
20003554,0.2806,23.36,0.961,ATE,0.25
20003671,0.5438,13.53,3.26,APO,0.015
20003691,0.2845,20.35,2.36,AMO,0.35
20003752,0.3015,55.56,1.68,APO,0.0778
20003753,0.5149,19.80,0.997,ATE,0.0703
20003757,0.4459,3.87,2.48,APO,0.0366
20003838,0.7027,29.20,1.85,APO,0.159
20003908,0.4590,2.19,2.68,AMO,0.0567
20003988,0.3167,10.77,1.92,AMO,0.177
20004015,0.6309,2.80,4.26,APO,0.043
20004034,0.4440,11.17,1.09,APO,0.0191
20004055,0.3260,23.25,2.46,AMO,0.239
20004179,0.6247,0.45,4.06,APO,0.00651
20004183,0.6362,6.67,2.79,APO,0.0284
20004197,0.7725,12.60,3.48,APO,0.0985
20004257,0.4684,40.72,2.11,APO,0.169
20004341,0.6801,11.84,2.48,APO,0.194
20004401,0.5634,26.62,4.15,AMO,0.335
20004450,0.5866,5.52,1.73,APO,0.0287
20004486,0.6600,3.03,3.28,APO,0.0459
20004487,0.2965,16.41,2.28,AMO,0.219
20004503,0.5248,2.51,4.45,AMO,0.304
20004544,0.2501,14.14,1.06,APO,0.173
20004581,0.3569,4.92,1.03,APO,0.00385
20004660,0.3588,1.45,1.81,APO,0.00416
20004769,0.4832,8.89,1.1,APO,0.0203
20004947,0.1684,15.65,1.6,AMO,0.15
20004954,0.4494,17.43,2.83,AMO,0.194
20004957,0.2188,35.01,1.96,AMO,0.425
20005011,0.5002,7.41,2.09,APO,0.0241
