spkid,e,q,i,moid,moid_ld
20000433,0.2228,1.133,10.83,0.148,57.7
20000719,0.5466,1.195,11.57,0.201,78.3
20000887,0.5712,1.061,9.40,0.0797,31
20001036,0.5332,1.244,26.68,0.343,134
20001221,0.4346,1.085,11.87,0.108,42
20001566,0.8270,0.186,22.80,0.0335,13
20001580,0.4876,1.125,52.19,0.132,51.6
20001620,0.3355,0.828,13.34,0.0294,11.4
20001627,0.3973,1.123,8.46,0.109,42.5
20001685,0.4360,0.771,9.38,0.0511,19.9
20001862,0.5599,0.647,6.35,0.026,10.1
20001863,0.6063,0.890,18.38,0.187,72.9
20001864,0.6144,0.563,22.22,0.269,105
20001865,0.4669,0.576,16.10,0.157,60.9
20001866,0.5381,0.875,41.21,0.104,40.3
20001915,0.5702,1.094,20.40,0.109,42.4
20001916,0.4492,1.252,12.88,0.252,98.2
20001917,0.5055,1.063,23.96,0.0717,27.9
20001943,0.2559,1.064,8.71,0.0609,23.7
20001980,0.3647,1.086,26.87,0.245,95.4
20001981,0.6505,0.621,39.82,0.00277,1.08
20002059,0.5316,1.237,11.02,0.245,95.4
20002061,0.5356,1.052,3.80,0.0558,21.7
20002062,0.1829,0.790,18.94,0.113,44
20002063,0.3494,0.701,9.43,0.0667,26
20002100,0.4365,0.469,15.76,0.15,58.3
20002101,0.7641,0.442,1.32,0.0115,4.48
20002102,0.2994,0.904,64.01,0.0426,16.6
20002135,0.5031,0.795,23.07,0.00853,3.32
20002201,0.7107,0.630,2.52,0.00278,1.08
20002202,0.5129,1.116,8.74,0.143,55.7
20002212,0.8347,0.358,11.20,0.112,43.6
20002329,0.6533,0.836,24.46,0.0936,36.4
20002340,0.4499,0.464,5.86,0.00663,2.58
20002368,0.4134,1.235,5.22,0.231,90.1
20002608,0.5647,1.102,14.43,0.153,59.6
20003102,0.4492,1.185,8.44,0.183,71.3
20003103,0.3542,0.907,20.93,0.0786,30.6
20003122,0.4232,1.020,22.14,0.0436,17
20003199,0.2841,1.127,32.96,0.215,83.8
20003200,0.8897,0.140,22.31,0.0187,7.28
20003271,0.3955,1.270,25.07,0.276,107
20003288,0.4545,1.110,5.93,0.105,40.7
20003352,0.3691,1.185,4.77,0.202,78.7
20003360,0.7474,0.623,21.07,0.11,42.8
20003361,0.3232,0.819,2.65,0.0146,5.7
20003362,0.4685,0.526,9.92,0.013,5.06
20003551,0.4868,1.074,9.51,0.0749,29.2
20003552,0.7073,1.250,31.05,0.342,133
20003553,0.3200,1.118,36.77,0.293,114
20003554,0.2806,0.701,23.36,0.25,97.2
20003671,0.5438,1.002,13.53,0.015,5.83
20003691,0.2845,1.270,20.35,0.35,136
20003752,0.3015,0.987,55.56,0.0778,30.3
20003753,0.5149,0.484,19.80,0.0703,27.4
20003757,0.4459,1.017,3.87,0.0366,14.3
20003838,0.7027,0.447,29.20,0.159,61.9
20003908,0.4590,1.043,2.19,0.0567,22.1
20003988,0.3167,1.055,10.77,0.177,68.9
20004015,0.6309,0.969,2.80,0.043,16.7
20004034,0.4440,0.589,11.17,0.0191,7.44
20004055,0.3260,1.227,23.25,0.239,93
20004179,0.6247,0.954,0.45,0.00651,2.54
20004183,0.6362,0.721,6.67,0.0284,11
20004197,0.7725,0.522,12.60,0.0985,38.3
20004257,0.4684,0.876,40.72,0.169,65.7
20004341,0.6801,0.587,11.84,0.194,75.5
20004401,0.5634,1.128,26.62,0.335,130
20004450,0.5866,0.596,5.52,0.0287,11.2
20004486,0.6600,0.750,3.03,0.0459,17.9
20004487,0.2965,1.217,16.41,0.219,85.2
20004503,0.5248,1.285,2.51,0.304,118
20004544,0.2501,0.781,14.14,0.173,67.5
20004581,0.3569,0.658,4.92,0.00385,1.5
20004596,0.5200,1.075,37.07,0.296,115
20004660,0.3588,0.952,1.45,0.00416,1.62
20004688,0.5179,1.077,6.37,0.108,42.1
20004769,0.4832,0.549,8.89,0.0203,7.89
20004947,0.1684,1.139,15.65,0.15,58.2
20004953,0.6575,0.555,24.38,0.0245,9.52
20004954,0.4494,1.102,17.43,0.194,75.6
20004957,0.2188,1.223,35.01,0.425,165
20005011,0.5002,0.818,7.41,0.0241,9.38
20005131,0.5689,0.641,36.45,0.276,107
20005143,0.7712,0.420,8.98,0.0575,22.4
20005189,0.4782,0.810,3.58,0.0448,17.5
20005324,0.6063,1.173,19.66,0.223,86.9
20005332,0.4556,1.178,25.52,0.305,119
20005370,0.6370,1.205,19.17,0.212,82.5
20005381,0.2964,0.667,48.97,0.111,43.2
20005496,0.6342,0.891,68.02,0.0945,36.8
20005587,0.5443,1.094,18.04,0.31,121
20005590,0.2801,0.710,14.18,0.121,47.3
20005604,0.4065,0.552,4.70,0.0336,13.1
20005620,0.4227,1.246,7.87,0.236,91.9
20005626,0.4545,1.197,3.85,0.213,82.9
20005645,0.3873,0.830,13.51,0.054,21
20005646,0.4358,1.210,7.91,0.211,82.3
20005653,0.3044,1.248,6.87,0.282,110
20005660,0.7620,0.425,38.14,0.162,63.2
20005693,0.5851,0.527,5.06,0.00586,2.28
20005731,0.6524,0.787,11.20,0.0647,25.2
20005751,0.4253,1.208,16.07,0.24,93.4
20005786,0.8268,0.187,23.22,0.189,73.4
20005797,0.4443,1.052,4.19,0.0698,27.2
20005828,0.6949,0.518,30.18,0.399,155
20005836,0.5383,1.126,7.93,0.18,69.9
20005863,0.5073,1.094,19.51,0.231,89.8
20005869,0.3214,1.230,17.92,0.31,121
20005879,0.2891,1.155,21.58,0.167,65.1
20006037,0.4996,0.636,3.51,0.0239,9.31
20006047,0.3521,0.942,23.47,0.139,54.2
20006050,0.4372,1.239,6.41,0.268,104
20006053,0.5284,1.013,21.58,0.222,86.5
20006063,0.7625,0.527,4.96,0.0763,29.7
20006178,0.5848,1.168,4.31,0.178,69.3
20006239,0.4125,0.676,3.94,0.0261,10.2
20006455,0.5729,0.957,37.34,0.287,112
20006456,0.4088,1.297,8.22,0.282,110
20006489,0.6188,0.944,2.26,0.0225,8.74
20006491,0.5921,1.021,6.15,0.0373,14.5
20006569,0.2207,1.267,22.64,0.254,98.7
20006611,0.4845,0.874,8.70,0.0598,23.3
20007025,0.3150,1.011,12.61,0.0622,24.2
20007088,0.3903,1.208,8.30,0.224,87.4
20007092,0.6937,0.780,17.79,0.101,39.1
20007236,0.5637,1.187,16.69,0.186,72.5
20007335,0.4845,0.914,15.16,0.0215,8.35
20007336,0.4820,1.194,7.20,0.189,73.5
20007341,0.5061,0.910,5.41,0.0481,18.7
20007350,0.3912,0.826,7.26,0.0811,31.6
20007358,0.5024,1.094,4.66,0.123,47.9
20007474,0.2921,1.108,7.09,0.167,65.1
20007480,0.3169,1.071,9.45,0.161,62.7
20007482,0.3294,0.904,33.47,0.000726,0.282
20007753,0.4816,0.761,3.12,0.00658,2.56
20007822,0.1646,0.938,37.12,0.0216,8.41
20007839,0.5186,1.042,27.12,0.135,52.4
20007888,0.6632,0.821,26.08,0.0869,33.8
20007889,0.3463,0.825,36.91,0.155,60.3
20007977,0.4662,1.188,25.17,0.355,138
20008013,0.4321,1.249,7.60,0.244,94.8
20008014,0.4560,0.951,1.87,0.0168,6.56
20008034,0.4091,1.082,2.02,0.073,28.4
20008035,0.4624,0.721,28.31,0.274,107
20008037,0.4177,1.157,5.91,0.2,78
20008176,0.6432,0.562,39.59,0.193,75
20008201,0.7061,0.746,9.54,0.101,39.3
20008507,0.5948,0.684,14.60,0.22,85.8
20008566,0.4304,0.858,37.98,0.0226,8.78
20008567,0.4491,1.127,8.45,0.122,47.3
20008709,0.4945,1.275,3.54,0.258,101
20009058,0.3597,0.997,16.09,0.0837,32.6
20009162,0.5955,0.605,9.01,0.0806,31.4
20009172,0.5528,1.212,7.84,0.252,97.9
20009202,0.6078,0.558,40.80,0.374,145
20009400,0.5807,1.085,35.98,0.285,111
20009856,0.6258,0.839,9.83,0.0222,8.63
20009950,0.5329,1.139,14.59,0.28,109
20010115,0.3249,0.843,15.32,0.0464,18.1
20010145,0.6326,0.698,4.55,0.063,24.5
20010150,0.5443,1.082,45.96,0.223,86.9
20010165,0.5039,0.613,23.90,0.376,147
20010302,0.1369,1.099,4.38,0.0805,31.3
20010563,0.2662,0.739,63.47,0.145,56.4
20010636,0.5128,0.918,13.57,0.11,43
20010860,0.5752,1.095,4.14,0.11,43
20011054,0.4465,1.096,3.08,0.123,47.9
20011066,0.3754,0.869,36.88,0.119,46.3
20011284,0.3374,1.153,1.99,0.168,65.5
20011311,0.5358,0.982,25.49,0.0952,37.1
20011398,0.3891,1.051,15.02,0.202,78.8
20011405,0.3938,0.885,22.86,0.117,45.6
20011500,0.3558,0.696,10.31,0.0344,13.4
20011885,0.4745,0.895,19.43,0.0664,25.8
20012538,0.4059,0.916,24.54,0.0302,11.8
20012711,0.2721,0.864,38.49,0.112,43.7
20012923,0.4927,0.995,5.31,0.02,7.77
20013553,0.4636,1.175,5.87,0.189,73.7
20013651,0.3057,0.927,17.25,0.0156,6.07
20014402,0.4017,1.026,11.41,0.102,39.8
20014827,0.6643,0.957,1.97,0.0158,6.14
20015745,0.2554,1.280,14.43,0.294,114
20015817,0.1181,1.168,13.87,0.248,96.3
20016064,0.5893,1.171,4.54,0.203,79.2
20016636,0.4679,1.230,7.21,0.24,93.4
20016657,0.4607,1.228,24.94,0.253,98.6
20016816,0.6037,0.572,25.92,0.38,148
20016834,0.4422,0.819,16.00,0.147,57.3
20016912,0.2727,1.274,24.52,0.321,125
20016960,0.8591,0.310,17.52,0.0184,7.14
20017181,0.6740,0.773,10.65,0.0717,27.9
20017182,0.5534,0.619,9.27,0.144,55.9
20017188,0.6367,0.805,29.45,0.0632,24.6
20017274,0.5541,1.218,5.57,0.207,80.7
20017511,0.3587,0.763,9.58,0.132,51.5
20018106,0.5120,1.192,4.22,0.194,75.4
20018109,0.3676,1.190,0.81,0.191,74.3
20018172,0.5110,1.186,17.83,0.365,142
20018736,0.4911,1.196,2.81,0.207,80.6
20018882,0.2321,1.294,36.81,0.431,168
20019356,0.5578,1.111,3.01,0.121,47
20019764,0.4447,1.240,1.33,0.222,86.4
20020086,0.6287,1.176,21.69,0.296,115
20020236,0.5610,0.893,6.51,0.0495,19.3
20020255,0.4920,1.093,9.96,0.101,39.1
20020425,0.4766,0.819,6.99,0.00419,1.63
20020429,0.4641,0.834,6.30,0.0571,22.2
20020460,0.4118,1.104,33.95,0.329,128
20020790,0.5562,1.222,8.30,0.239,93.2
20020826,0.6365,0.879,31.93,0.093,36.2
20021088,0.2387,1.299,38.46,0.306,119
20021277,0.5204,1.141,20.95,0.313,122
20021374,0.1207,1.116,23.98,0.108,41.9
20022099,0.2763,0.799,9.85,0.168,65.5
20022753,0.5700,0.524,3.21,0.0336,13.1
20022771,0.5242,0.750,11.40,0.0637,24.8
20023183,0.4009,1.093,40.98,0.256,99.7
20023187,0.5894,0.758,51.34,0.015,5.82
20023548,0.5179,1.104,23.44,0.24,93.3
20023606,0.3609,1.119,14.36,0.101,39.5
20023714,0.5165,1.029,8.44,0.0789,30.7
20024443,0.8224,0.410,25.74,0.15,58.5
