id,diameter,absolute_magnitude,slope_parameter,albedo,rotational_period_hrs,gravitational_param,spectral_class_b,spectral_class_t
20000433,16.84,10.39,0.46,0.25,5.27,4.463e-04,S,S
20000719,,15.59,,,5.801,,S,
20000887,4.2,13.82,-0.12,0.31,28.41,,,S
20001036,37.675,9.17,0.30,0.238,10.297,,S,S
20001221,1.0,17.37,,,,,,
20001566,1.0,16.53,,0.51,2.2726,,,
20001580,5.8,14.54,0.00,0.08,6.1324,,,C
20001620,2.56,15.26,,0.290,5.22204,,S,S
20001627,9.12,12.79,0.60,0.15,4.795,,S,S
20001685,3.4,14.28,,0.31,10.1995,,S,S
20001862,1.5,16.09,0.09,0.25,3.065,,Q,Q
20001863,2.1,15.35,,0.24,7.453,,Sq,SU
20001864,3.7,14.83,,0.273,8.572,,Sr,SQ
20001865,1.2,16.77,,0.22,6.8039,,S,S
20001866,8.48,12.48,,0.15,2.4,,S,
20001915,0.5,18.38,0.10,0.21,4.9,,,SMU
20001916,3.5,14.93,,,3.4746,,S,S
20001917,5.7,14.38,,0.195,2.689,,Sl,
20001943,2.3,15.68,,0.17,2.86923,,L,S
20001980,4.3,13.80,,0.25,7.24612,,Sl,SU
20001981,3.4,15.28,,,5.22,,V,
20002059,,15.98,,,129.47,,,
20002061,2.6,16.70,,,6.712,,,TCG:
20002062,1.1,17.11,,0.26,42.15,,Sr,S
20002063,1.024,17.21,,0.203,14.904,,Sq,
20002100,2.3,16.24,0.12,0.13,19.797,,Xc,C
20002101,0.6,18.69,,,,,,
20002102,1.649,16.00,,0.245,2.384,,Q,
20002135,,18.05,,,,,,
20002201,1.80,15.32,,0.4328,26,,Sq,
20002202,,16.99,,,,,,
20002212,5.7,13.45,,0.163,48,,,SG
20002329,,14.57,,,4.6473,,,
20002340,0.3,20.41,,,3.35,,Sq,CSU
20002368,2.3,15.18,,0.27,5.786,,,SQ
20002608,0.9,17.48,,0.21,8,,,S
20003102,1.6,16.16,,,149.4,,S,QRS
20003103,1.5,15.30,,0.64,5.7103,,Xe,
20003122,4.9,14.08,,0.231,2.3581,,S,
20003199,2.2,14.99,,0.42,3.021,,Sq,S
20003200,6.25,14.38,,0.1066,3.604,,B,F
20003271,,16.54,,,,,,
20003288,2.8,15.34,,0.22,75,,K,S
20003352,,15.93,,,2.206,,A,
20003360,1.8,16.03,,0.17,,,,
20003361,0.3,19.50,,0.357,3.5327,,,
20003362,0.7,18.52,,0.21,,,,
20003551,0.9,16.72,,0.37,4.93,,,V
20003552,19.0,13.03,,0.03,6.665,,D,D
20003553,,16.41,,,3.1944,,,
20003554,3.341,15.91,,0.074,2.53001,,,
20003671,1.5,16.50,,0.16,2.7053,,Cb,
20003691,4.3,14.93,,0.515,226.8,,Xc,
20003752,2.306,15.14,,0.210,37.846,,,
20003753,2.071,15.42,,0.365,27.3099,,Q,
20003757,0.5,19.01,,0.18,9.012,,,S
20003838,,15.67,,,2.3812,,,
20003908,1.0,17.45,,0.23,4.42601,,V,V
20003988,0.7,17.94,,,10.53,,,
20004015,4,16.19,,0.05,3.5736,,,CF
20004034,0.42,18.50,,0.52,44.4,,O,
20004055,2.49,14.90,,0.31,7.475,,V,V
20004179,5.4,15.29,0.10,0.405,176.,,Sk,
20004183,3.651,14.18,,0.097,3.5595,,Sq,
20004197,1.8,14.97,,0.37,3.538,,Sq,
20004257,,15.95,,,4.4,,,
20004341,3.177,16.08,,0.054,6.262,,O,
20004401,1.801,16.12,,0.343,6.67,,,
20004450,,17.27,,,56.48,,,
20004486,1.849,15.62,,0.297,67.5,,,
20004487,,17.48,,,,,,
20004503,,15.82,,,2.8164,,Sq,
20004544,1.3,17.39,,,37.65,,,
20004581,,20.74,,,8.008,,,
20004660,0.33,18.75,,0.55,15.1749,,Xe,
20004769,1.4,17.40,,0.092,4.095,,,
20004947,,18.07,,,21.1,,Sq,
20004954,10.8,12.55,,0.176,12.056,,S,
20004957,3.499,15.05,,0.132,2.892,,S,
20005011,,16.64,,,56.3,,,
20005143,4.843,14.04,,0.227,2.7063,,O,
20005324,,15.35,,,,,,
20005332,3.6,14.96,,,5.803,,,
20005370,3.6,15.23,,0.037,,,,
20005381,0.935,16.72,,0.507,2.8233,,,
20005620,,17.11,,,5.307,,,
20005626,,14.33,,,2.48611,,S,
20005653,1.537,16.22,,0.271,4.834,,,
20005731,5.231,15.47,,0.031,,,,
20005751,2.3,14.94,,0.36,76,,X,
20005786,,17.14,,,23.6,,,
20005797,0.4,18.89,,,2.706,,,
20005863,1.345,15.83,,0.488,5.867,,,
20005869,,17.22,,,17.519,,,
20005879,,17.61,,,21.967,,,
20006050,2.884,14.94,,0.257,5.7566,,,
20006063,1.4,16.02,,0.21,48.6,,,
20006239,,18.59,,,3.5558,,,
20006456,,16.07,,,2.50129,,,
20006489,0.53,19.22,,0.151,6.026,,Q,
20006569,,16.63,,,5.958,,Sr,
20007088,1.298,16.84,,0.260,2.679,,,
20007092,6.319,15.12,,0.046,,,,
20007336,,18.80,,,4.307,,Sq,
20007358,,14.73,,,125.8,,Sq,
20007480,,17.24,,,35.9,,S,
20008013,2.3,17.09,,,8.4,,,
20008034,,18.03,,,7.283,,,
20008709,,17.09,,,50.6,,,
20009162,1.127,18.01,,0.088,15.13,,,
20009172,,16.64,,,,,,
20009950,,16.20,,,6.712,,,
20010563,,16.94,,,,,Q,
20011066,2.104,15.17,,0.190,8.4958,,K,
20011284,,18.25,,,5.43,,,
20011311,,15.74,,,,,Sq,
20011500,0.738,18.38,,0.142,73,,S,
20011885,1.298,18.52,,0.033,7.368,,,
20012711,,16.03,,,3.4848,,Sr,
20012923,2.060,15.80,,0.199,3.893,,S:,
20013553,,16.54,,,58.,,,
20014827,0.9,18.81,,,,,,
20015745,,17.40,,,3.2486,,S,
20015817,,18.47,,,11,,Xc,
20016064,4.106,16.86,,0.020,178.5,,C,
20016912,,17.91,,,,,,
20018106,,17.78,,,,,,
20020460,2.716,15.41,,0.199,2.7209,,,
20021088,2.793,14.34,,0.206,11.23,,,
20024761,,17.37,,,,,,
20025143,0.33,19.26,,,12.132,2.1e-9,S(IV),
20037655,,17.85,,,2.6556,,,
20038086,0.643,17.35,,0.469,2.4104,,,
20039557,,17.03,,,,,,
20052387,0.890,17.75,,0.171,26,,,
20053435,,14.73,,,5.189,,S,
20054509,,22.66,,,0.2029,,,
20065803,0.78,18.11,,,2.2593,,S,
20066391,1.317,16.64,,,2.7645,,S:,
20069230,,17.68,,,13.894,,,
20085585,,21.64,,,11.6,,,
20096189,3.605,16.48,,0.041,,,,
20098943,,18.71,,,5.0159,,L,
20099942,0.34,19.09,0.24,0.35,30.56,,Sq,
20101955,0.48444,20.21,-0.03,0.044,4.296061,4.8904e-9,B,
20136795,,18.11,,,17.71,,S,
20136818,,18.98,,,,,,
20137052,,17.04,,,9.007,,V,
20154991,,18.57,,,,,,
20161989,1.9,17.31,,0.09,3.7538,,,S
20162011,,16.60,,,2.998,,Sq,
20162173,0.896,19.55,,0.045,7.63262,3.00e-8,Cb,
20163693,,16.41,,,3.398,,,
20164207,0.163,21.20,,0.219,,,,
20164215,,20.01,,,,,,
20189011,,19.08,,,,,,
20217628,1.4,16.68,,,8.55,,,
20280244,,18.22,,,,,,
20306367,,15.65,,,,,,
20314082,,17.50,,,,,,
20326290,,21.83,,,,,,
20326732,,17.66,,,3.463,,,
20343158,,16.31,,,,,,
20355256,,16.78,,,7.152,,,
20367943,,24.19,,,8.724,,,
20398188,0.462,19.33,,0.137,21.99,,,
20428694,,19.30,,,8.43,,,
20429733,,16.55,,,2.649,,,
20452307,,18.43,,,,,,
20469219,,24.31,,,0.467,,,
20471926,,18.62,,,,,,
20481984,,18.01,,,,,,
20506074,0.665,18.90,,0.110,,,,
20520585,,21.48,,,,,,
20524522,,20.54,,,13.5,,,
20594913,,16.20,,,,,,
20605911,,19.22,,,,,,
20614470,,18.38,,,,,,
20620096,,19.86,,,2.93,,,
20622577,,19.71,,,,,,
20679829,,18.36,,,,,,
20785648,,20.27,,,,,,
1000036,11.0,,,0.04,,,,
1000025,4.8,,,0.046,11.083,,,
1000504,,,,,,,,
1000505,,,,,,,,
1000069,5.2,,,,,,,
1000099,4.5,,,,,,,
1000068,,,,,,,,
1000066,,,,,,,,
1000027,,,,,,,,
1000144,,,,,,,,
1000212,,,,,,,,
1000032,2.0,,,,,,,
1000009,,,,,,,,
1000077,2.6,,,,,,,
1000034,2.6,,,,,,,
1000016,,,,,,,,
1000284,,,,,,,,
1000043,,,,,,,,
1000100,1.4,,,,,,,
1000045,1.6,,,,,,,
1000109,1.2,,,,,,,
1000095,3.6,,,0.06,,,,
1000021,,,,,,,,
1000012,3.4,,,,12.76129,662.2e-9,,
1000020,,,,,,,,
1000394,,,,,,,,
1003777,,,,,,,,
1000320,,,,,,,,
1000081,,,,,,,,
1000324,,,,,,,,
1002326,,,,,,,,
1002327,,,,,,,,
1002336,,,,,,,,
1002332,,,,,,,,
1002334,,,,,,,,
1002331,,,,,,,,
1002338,,,,,,,,
1002335,,,,,,,,
1002333,,,,,,,,
1002339,,,,,,,,
1002340,,,,,,,,
1002341,,,,,,,,
1002342,,,,,,,,
1002343,,,,,,,,
1002344,,,,,,,,
1002345,,,,,,,,
1002346,,,,,,,,
1002348,,,,,,,,
1002349,,,,,,,,
1002350,,,,,,,,
1002351,,,,,,,,
1002352,,,,,,,,
1002353,,,,,,,,
1002354,,,,,,,,
1002355,,,,,,,,
1002356,,,,,,,,
1002357,,,,,,,,
1002358,,,,,,,,
1002359,,,,,,,,
1002360,,,,,,,,
1002361,,,,,,,,
1002363,,,,,,,,
1002364,,,,,,,,
1002365,,,,,,,,
1002366,,,,,,,,
1002367,,,,,,,,
1002368,,,,,,,,
1002369,,,,,,,,
1002370,,,,,,,,
1002371,,,,,,,,
1002372,,,,,,,,
1002373,,,,,,,,
1002374,,,,,,,,
1002375,,,,,,,,
1002376,,,,,,,,
1002377,,,,,,,,
1002378,,,,,,,,
1002379,,,,,,,,
1002380,,,,,,,,
1002381,,,,,,,,
