spkid,H,diameter
20000433,10.39,16.84
20000719,15.59,\N
20000887,13.82,4.2
20001036,9.17,37.675
20001221,17.37,1.0
20001566,16.53,1.0
20001580,14.54,5.8
20001620,15.26,2.56
20001627,12.79,9.12
20001685,14.28,3.4
20001862,16.09,1.5
20001863,15.35,2.1
20001864,14.83,3.7
20001865,16.77,1.2
20001866,12.48,8.48
20001915,18.38,0.5
20001916,14.93,3.5
20001917,14.38,5.7
20001943,15.68,2.3
20001980,13.80,4.3
20001981,15.28,3.4
20002059,15.98,\N
20002061,16.70,2.6
20002062,17.11,1.1
20002063,17.21,1.024
20002100,16.24,2.3
20002101,18.69,0.6
20002102,16.00,1.649
20002135,18.05,\N
20002201,15.32,1.80
20002202,16.99,\N
20002212,13.45,5.7
20002329,14.57,\N
20002340,20.41,0.3
20002368,15.18,2.3
20002608,17.48,0.9
20003102,16.16,1.6
20003103,15.30,1.5
20003122,14.08,4.9
20003199,14.99,2.2
20003200,14.38,6.25
20003271,16.54,\N
20003288,15.34,2.8
20003352,15.93,\N
20003360,16.03,1.8
20003361,19.50,0.3
20003362,18.52,0.7
20003551,16.72,0.9
20003552,13.03,19.0
20003553,16.41,\N
20003554,15.91,3.341
20003671,16.50,1.5
20003691,14.93,4.3
20003752,15.14,2.306
20003753,15.42,2.071
20003757,19.01,0.5
20003838,15.67,\N
20003908,17.45,1.0
20003988,17.94,0.7
20004015,16.19,4
20004034,18.50,0.42
20004055,14.90,2.49
20004179,15.29,5.4
20004183,14.18,3.651
20004197,14.97,1.8
20004257,15.95,\N
20004341,16.08,3.177
20004401,16.12,1.801
20004450,17.27,\N
20004486,15.62,1.849
20004487,17.48,\N
20004503,15.82,\N
20004544,17.39,1.3
20004581,20.74,\N
20004596,16.46,\N
20004660,18.75,0.33
20004688,19.60,0.6
20004769,17.40,1.4
20004947,18.07,\N
20004953,14.88,\N
20004954,12.55,10.8
20004957,15.05,3.499
20005011,16.64,\N
20005131,14.81,\N
20005143,14.04,4.843
20005189,17.85,\N
20005324,15.35,\N
20005332,14.96,3.6
20005370,15.23,3.6
20005381,16.72,0.935
20005496,16.16,\N
20005587,13.89,3.57
20005590,19.91,\N
20005604,17.36,0.55
20005620,17.11,\N
20005626,14.33,\N
20005645,17.23,1.668
20005646,15.51,4.3
20005653,16.22,1.537
20005660,15.38,\N
20005693,16.78,\N
20005731,15.47,5.231
20005751,14.94,2.3
20005786,17.14,\N
20005797,18.89,0.4
20005828,15.96,1.457
20005836,14.99,2.754
20005863,15.83,1.345
20005869,17.22,\N
20005879,17.61,\N
20006037,18.86,\N
20006047,17.84,\N
20006050,14.94,2.884
20006053,15.10,3.720
20006063,16.02,1.4
20006178,15.71,2.3
20006239,18.59,\N
20006455,14.08,4.626
20006456,16.07,\N
20006489,19.22,0.53
20006491,18.72,\N
20006569,16.63,\N
20006611,16.82,1.408
20007025,18.08,0.498
20007088,16.84,1.298
20007092,15.12,6.319
20007236,18.32,\N
20007335,17.70,1.8
20007336,18.80,\N
20007341,16.96,0.982
20007350,17.16,1.921
20007358,14.73,\N
20007474,18.11,\N
20007480,17.24,\N
20007482,16.58,1.052
20007753,18.01,\N
20007822,17.34,1.602
20007839,17.83,0.784
20007888,15.19,2.298
20007889,15.24,1.680
20007977,15.15,\N
20008013,17.09,2.3
20008014,18.88,0.7
20008034,18.03,\N
20008035,17.09,\N
20008037,16.63,\N
20008176,16.99,\N
20008201,15.93,1.859
20008507,17.21,\N
20008566,16.47,1.568
20008567,15.36,2.928
20008709,17.09,\N
20009058,17.82,\N
20009162,18.01,1.127
20009172,16.64,\N
20009202,16.10,1.617
20009400,14.84,3.698
20009856,17.09,1.0
20009950,16.20,\N
20010115,17.14,0.938
20010145,17.00,\N
20010150,15.45,\N
20010165,17.36,0.829
20010302,19.48,\N
20010563,16.94,\N
20010636,17.70,0.533
20010860,17.02,\N
20011054,17.07,\N
20011066,15.17,2.104
20011284,18.25,\N
20011311,15.74,\N
20011398,16.36,1.316
20011405,15.22,3.621
20011500,18.38,0.738
20011885,18.52,1.298
20012538,15.96,1.663
20012711,16.03,\N
20012923,15.80,2.060
20013553,16.54,\N
20013651,17.87,0.562
20014402,18.77,0.6
20014827,18.81,0.9
20015745,17.40,\N
20015817,18.47,\N
20016064,16.86,4.106
20016636,18.78,\N
20016657,16.55,\N
20016816,16.24,\N
20016834,15.75,1.87
20016912,17.91,\N
20016960,14.32,\N
20017181,16.77,\N
20017182,17.13,2.885
20017188,16.42,1.819
20017274,16.87,3.183
20017511,17.32,\N
20018106,17.78,\N
20018109,17.19,\N
20018172,15.69,\N
20018736,15.97,\N
20018882,16.14,\N
20019356,17.00,0.91
20019764,16.11,1.572
20020086,16.68,\N
20020236,17.72,\N
20020255,18.45,\N
20020425,20.51,\N
20020429,17.76,\N
20020460,15.41,2.716
20020790,16.64,\N
20020826,13.85,3.687
20021088,14.34,2.793
20021277,16.18,\N
20021374,17.45,\N
20022099,18.09,0.524
20022753,17.68,\N
20022771,16.96,\N
20023183,16.05,1.098
20023187,16.05,\N
20023548,17.28,\N
20023606,18.39,0.866
20023714,16.86,\N
20024443,16.42,\N
20024445,14.71,\N
20024475,16.43,\N
20024761,17.37,\N
20025143,19.26,0.33
20025330,16.75,3.21
20025916,13.76,5.683
20026166,16.79,\N
20026310,19.28,\N
20026379,18.20,\N
20026663,18.13,\N
20026760,15.50,5.400
20026817,19.49,1.172
20027002,18.31,\N
20027031,17.89,\N
20027346,15.88,1.802
20029075,17.28,1.3
20030825,14.73,\N
20030997,17.27,\N
20031210,16.40,\N
20031221,17.23,\N
20031345,17.61,\N
20031346,17.16,\N
20031662,19.54,\N
20031669,16.19,\N
20032906,16.04,\N
20033342,18.02,0.432
20034613,16.09,\N
20035107,16.85,0.929
20035396,17.01,0.704
20035432,19.39,\N
20035670,19.57,\N
20036017,19.29,\N
20036183,16.30,2.339
20036236,15.95,\N
20036284,15.04,\N
20037336,15.78,\N
20037638,19.28,\N
20037655,17.85,\N
20038071,19.57,\N
20038086,17.35,0.643
20038091,16.31,2.517
20038239,18.33,\N
20039557,17.03,\N
20039565,18.46,\N
20039572,16.56,1.554
20039796,15.68,2.131
20040263,17.75,0.954
20040267,15.54,1.641
20040329,17.71,\N
20041429,20.66,0.204
20041440,19.88,\N
20042286,16.70,\N
20048603,17.82,0.844
20052340,17.96,\N
20052381,20.05,\N
20052387,17.75,0.890
20052689,19.13,\N
20052750,16.67,1.059
20052760,17.52,1.0
20052761,17.96,\N
20052762,14.82,6.742
20052768,16.02,1.75
20053110,16.72,\N
20053319,15.35,7.
20053409,18.73,\N
20053426,17.19,\N
20053429,19.02,\N
20053430,16.66,1.233
20053435,14.73,\N
20053550,19.05,\N
20053789,17.35,0.843
20054071,17.41,\N
20054401,17.22,1.189
20054509,22.66,\N
20054660,17.92,\N
20054686,16.61,1.349
20054690,17.51,\N
20054789,15.07,1.567
20055408,18.88,0.461
20055532,16.16,1.306
20065674,18.27,\N
20065679,19.62,0.918
20065690,19.06,\N
20065706,16.57,\N
20065717,20.87,\N
20065733,18.37,\N
20065803,18.11,0.78
20065909,19.31,\N
20065996,18.49,\N
20066008,15.93,1.484
20066063,18.15,\N
20066146,14.36,2.864
20066251,17.00,1.222
20066253,18.40,\N
20066272,17.22,0.808
20066391,16.64,1.317
20066400,19.27,0.411
20066407,18.84,\N
20066959,16.94,\N
20067367,17.08,\N
20067381,19.98,\N
20067399,18.41,\N
20068031,18.13,\N
20068063,15.57,2.301
20068216,16.57,0.994
20068267,17.01,0.875
20068278,18.47,0.942
20068346,16.92,0.736
20068347,19.92,\N
20068348,14.27,3.512
20068350,16.11,1.794
20068359,18.07,\N
20068372,18.95,\N
20068548,16.57,1.182
20068950,16.39,1.650
20069230,17.68,\N
20085182,17.13,1.1
20085184,18.41,\N
20085236,18.75,\N
20085275,16.49,2.506
20085490,14.80,\N
20085585,21.64,\N
20085628,17.28,0.775
20085640,21.14,\N
20085709,15.93,2.230
20085713,15.77,3.484
20085770,20.72,\N
20085774,19.09,0.939
20085804,15.36,2.272
20085818,15.42,2.028
20085839,16.58,1.140
20085867,18.32,\N
20085938,18.73,\N
20085953,18.10,0.59
20085989,17.07,1.462
20085990,20.27,0.451
20086039,15.95,2.22
20086067,16.45,1.245
20086324,15.83,2.102
20086326,17.35,1.348
20086450,18.44,\N
20086666,16.88,1.165
20086667,17.54,0.745
20086819,17.48,0.802
20086829,15.81,1.823
20086878,17.65,\N
20087024,18.72,\N
20087025,18.09,\N
20087309,17.59,0.568
20087311,16.50,1.948
20087684,15.96,\N
20088188,16.08,1.371
20088213,19.48,0.912
20088254,17.77,0.800
20088263,15.69,5.748
20088264,17.01,\N
20088710,17.61,0.760
20088959,17.45,\N
20089136,20.27,\N
20089355,15.80,2.038
20089830,14.98,5.067
20089958,17.22,\N
20089959,16.55,1.407
20090075,15.38,2.233
20090147,18.31,\N
20090367,17.92,1.748
20090373,18.81,\N
20090403,17.78,0.572
20090416,18.83,0.968
20096189,16.48,3.605
20096315,17.04,\N
20096536,15.38,\N
20096590,16.28,0.882
20096631,18.17,\N
20096744,14.78,\N
20097725,18.75,\N
20098943,18.71,\N
20099248,16.54,1.115
20099799,18.52,\N
20099907,17.96,1.4
20099935,16.15,\N
20099942,19.09,0.34
20100004,16.43,2.70
20100085,17.89,\N
20100756,16.34,1.809
20100926,16.63,1.174
20101869,19.48,\N
20101873,16.39,\N
20101955,20.21,0.48444
20102873,17.64,\N
20103067,16.80,1.282
20105140,15.75,1.946
20105141,19.09,0.352
20106538,16.29,\N
20106589,16.01,\N
20108519,17.94,1.423
20108906,17.90,\N
20111253,15.24,3.006
20112221,15.52,\N
20112985,15.77,3.618
20115052,17.46,\N
20136564,19.28,0.4
20136582,19.87,\N
20136617,17.97,\N
20136618,16.86,\N
20136635,19.12,\N
20136745,17.88,\N
20136770,20.56,\N
20136773,18.61,\N
20136793,18.35,\N
20136795,18.11,\N
20136818,18.98,\N
20136839,18.85,\N
20136849,17.70,\N
20136874,15.74,3.398
20136897,18.57,\N
20136900,17.39,\N
20136923,16.31,\N
20136993,17.85,\N
20137032,16.66,1.055
20137044,16.80,\N
20137052,17.04,\N
20137062,16.76,1.265
20137064,18.84,\N
20137078,16.36,\N
20137084,16.47,1.228
20137099,18.29,0.564
20137108,18.05,\N
20137120,18.29,\N
20137125,18.81,\N
20137126,18.08,\N
20137158,17.92,\N
20137170,14.66,\N
20137175,18.33,\N
20137199,16.95,\N
20137427,15.28,\N
20137671,18.73,\N
20137799,18.79,\N
20137802,16.95,\N
20137805,16.72,2.243
20137911,17.75,\N
20137924,17.50,0.970
20137925,16.06,1.372
20138013,14.70,3.518
20138095,15.98,\N
20138127,17.11,0.754
20138155,17.22,\N
20138175,20.49,\N
20138205,15.07,\N
20138258,18.98,\N
20138325,16.69,\N
20138359,17.97,1.085
20138404,19.39,\N
20138524,16.86,\N
20138727,19.34,\N
20138815,18.04,\N
20138846,16.08,\N
20138847,17.07,0.965
20138852,20.29,\N
20138859,18.98,\N
20138877,16.72,\N
20138883,16.84,1.222
20138893,18.21,\N
20138911,19.46,\N
20138925,15.95,\N
20138937,17.80,\N
20138947,18.82,0.447
20138971,18.54,\N
20139047,17.41,\N
20139056,19.18,0.32
20139211,17.77,\N
20139289,17.80,1.126
20139345,16.74,2.586
20139359,16.52,\N
20139622,18.46,\N
20140039,18.08,\N
20140158,18.48,0.566
20140288,16.73,1.263
20140333,19.24,\N
20140928,18.29,\N
20141018,19.04,\N
20141052,17.46,\N
20141053,18.86,\N
20141056,17.33,\N
20141078,18.67,\N
20141079,17.74,\N
20141354,17.36,\N
20141424,20.65,\N
20141432,20.06,0.239
20141447,17.16,\N
20141484,16.26,1.034
20141495,18.46,\N
20141498,18.45,\N
20141525,18.07,\N
20141526,20.20,\N
20141527,18.94,\N
20141531,19.15,0.303
20141593,18.32,\N
20141614,19.52,\N
20141670,16.84,\N
20141761,17.44,\N
20141765,16.31,\N
20141851,17.81,\N
20141874,17.83,\N
20142040,16.25,1.232
20142348,18.33,\N
20142464,18.34,0.886
20142555,16.39,\N
20142561,18.20,\N
20142563,17.21,0.860
20142781,16.14,1.595
20143381,16.21,\N
20143404,16.95,\N
20143409,17.89,\N
20143487,18.94,\N
20143527,18.64,\N
20143624,15.91,2.137
20143637,16.58,\N
20143643,18.31,\N
20143649,17.39,\N
20143651,16.11,\N
20143678,16.39,\N
20143947,15.36,\N
20143992,16.12,\N
20144332,16.60,\N
20144411,16.54,\N
20144861,15.34,\N
20144898,18.89,\N
20144900,18.27,\N
20144901,17.54,2.240
20144922,17.36,\N
20145656,16.43,\N
20152558,16.86,1.4
20152560,19.22,\N
20152561,19.10,\N
20152563,19.71,0.272
20152564,19.63,0.282
20152575,17.07,\N
20152637,17.87,\N
20152664,19.70,\N
20152667,16.41,\N
20152671,20.24,0.298
20152679,16.55,4.167
20152680,19.49,\N
20152685,19.33,\N
20152742,19.10,0.413
20152754,19.22,0.414
20152756,18.98,\N
20152770,18.41,\N
20152787,18.69,\N
20152828,21.26,\N
20152889,16.50,1.022
20152895,18.17,\N
20152931,16.30,1.646
20152941,17.61,0.820
20152942,16.74,\N
20152952,17.57,0.776
20152964,17.80,0.788
20152978,19.57,0.531
20153002,18.28,\N
20153195,17.51,1.327
20153201,19.30,0.510
20153219,18.54,1.289
20153220,17.43,\N
20153243,17.50,\N
20153249,15.67,3.160
20153267,17.80,\N
20153271,17.40,2.441
20153306,16.80,\N
20153311,17.39,\N
20153315,19.55,\N
20153349,18.65,\N
20153415,17.01,\N
20153460,19.71,\N
20153591,17.11,2
20153792,18.14,\N
20153814,18.28,0.932
20153842,16.70,1.759
20153951,18.75,\N
20153953,16.81,\N
20153957,17.76,\N
20153958,18.35,\N
20154007,18.12,\N
20154019,22.07,\N
20154020,19.13,\N
20154029,16.52,1.119
20154035,17.38,1.098
20154144,17.52,\N
20154229,16.61,\N
20154244,17.57,\N
20154268,18.06,\N
20154269,17.87,\N
20154275,20.13,\N
20154276,17.61,1.060
20154278,16.50,\N
20154300,19.37,\N
20154302,17.69,\N
20154330,18.19,\N
20154347,16.15,\N
20154453,15.36,\N
20154555,16.70,\N
20154589,16.62,1.109
20154590,21.70,0.086
20154631,18.21,\N
20154652,18.92,\N
20154656,16.34,\N
20154658,19.42,\N
20154715,18.53,\N
20154807,18.56,0.469
20154988,18.39,\N
20154991,18.57,\N
20154993,17.99,0.828
20155110,17.46,0.683
20155140,17.47,\N
20155334,17.24,\N
20155336,18.41,\N
20155338,20.40,\N
20155340,16.29,\N
20155341,18.23,\N
20159399,16.50,\N
20159402,16.61,\N
20159454,18.04,0.577
20159459,16.31,1.769
20159467,18.34,\N
20159495,17.46,\N
20159504,16.97,2.324
20159518,18.01,1.784
20159533,17.66,\N
20159555,18.69,\N
20159560,17.14,1.156
20159608,16.59,\N
20159609,17.23,\N
20159635,18.16,\N
20159677,19.45,\N
20159686,16.34,1.845
20159699,17.60,\N
20159856,17.98,\N
20159857,15.46,3.070
20159923,16.44,\N
20159928,18.00,\N
20159929,17.72,2.620
20161989,17.31,1.9
20161995,17.27,\N
20161998,17.59,\N
20161999,18.80,0.458
20162000,19.64,0.4
20162004,18.28,\N
20162011,16.60,\N
20162015,19.25,\N
20162038,16.69,1.959
20162039,18.92,\N
20162058,17.99,0.847
20162063,18.96,\N
20162080,19.93,0.777
20162082,19.12,\N
20162116,19.54,0.538
20162117,19.04,\N
20162120,20.64,\N
20162142,18.78,0.462
20162149,17.51,\N
20162157,19.95,\N
20162161,17.68,\N
20162162,19.99,\N
20162168,17.34,\N
20162173,19.55,0.896
20162181,18.20,0.729
20162183,21.25,\N
20162186,15.03,\N
20162195,19.50,\N
20162196,18.79,\N
20162210,19.30,\N
20162214,18.86,\N
20162215,19.17,\N
20162269,16.97,1.010
20162273,17.27,\N
20162361,20.24,\N
20162385,18.59,0.812
20162416,21.67,\N
20162421,18.11,\N
20162422,20.60,\N
20162433,19.36,\N
20162452,18.50,\N
20162463,17.97,1.048
20162470,19.24,\N
20162472,19.22,\N
20162474,18.62,\N
20162483,17.53,0.906
20162510,17.60,1.406
20162566,15.73,4.299
20162567,19.97,0.335
20162581,18.66,\N
20162635,16.74,\N
20162679,18.06,\N
20162687,18.75,\N
20162694,19.74,\N
20162695,20.20,\N
20162698,18.43,\N
20162723,17.73,\N
20162740,18.44,\N
20162741,17.47,3.945
20162781,17.96,\N
20162783,20.91,\N
20162825,17.97,\N
20162854,19.14,\N
20162873,19.27,\N
20162882,18.77,\N
20162900,15.98,\N
20162903,18.66,1.086
20162911,19.33,\N
20162913,18.48,\N
20162922,20.91,\N
20162926,17.12,\N
20162979,18.29,\N
20162980,16.77,0.790
20162998,18.16,0.875
20163000,19.24,\N
20163001,18.41,\N
20163014,17.75,\N
20163015,22.07,\N
20163023,19.52,\N
20163026,21.23,\N
20163051,16.34,\N
20163067,19.99,\N
20163070,18.40,\N
20163081,18.57,\N
20163132,18.61,0.460
20163191,19.43,\N
20163243,16.42,1.682
20163249,18.70,\N
20163250,15.47,\N
20163252,17.91,\N
20163295,19.49,\N
20163335,17.19,\N
20163348,20.05,0.735
20163364,18.91,\N
20163373,19.03,\N
20163412,17.36,\N
20163454,19.11,0.712
20163667,19.88,\N
20163679,19.29,\N
20163683,19.05,\N
20163691,17.09,3.449
20163692,18.27,\N
20163693,16.41,\N
20163694,17.50,0.832
20163696,16.53,\N
20163697,20.08,\N
20163732,15.48,\N
20163758,17.42,\N
20163760,16.68,2.343
20163818,18.46,0.386
20163899,17.56,0.791
20163902,17.21,\N
20164120,19.07,\N
20164121,16.15,1.717
20164184,19.46,\N
20164201,15.73,\N
20164202,20.91,\N
20164206,17.69,1.138
20164207,21.20,0.163
20164211,19.50,\N
20164214,19.27,\N
20164215,20.01,\N
20164216,17.25,\N
20164217,17.16,\N
20164221,20.43,\N
20164222,20.85,\N
20164294,20.45,\N
20164341,20.59,\N
20164342,20.99,\N
20164400,17.35,\N
20168044,19.09,\N
20168318,19.03,0.9
20168378,16.91,0.841
20168791,18.85,\N
20169352,19.37,0.316
20169675,16.67,\N
20170013,17.77,\N
20170086,18.14,\N
20170502,17.36,\N
20170891,16.97,\N
20170903,18.20,\N
20171486,18.41,\N
20171576,18.68,\N
20171819,18.38,\N
20171839,19.23,\N
20172034,17.84,0.631
20172678,18.89,\N
20172718,18.87,\N
20172722,17.67,\N
20172974,19.40,\N
20173232,18.28,\N
20173561,18.36,\N
20173664,19.76,\N
20173689,18.25,0.724
20174050,17.58,\N
20174806,17.22,\N
20174881,18.11,\N
20175114,16.76,\N
20175189,18.29,\N
20175706,18.31,1.196
20175729,20.44,\N
20175921,18.32,1.039
20177016,19.95,\N
20177049,19.80,\N
20177255,16.79,\N
20177614,17.56,\N
20177651,17.50,\N
20178601,17.74,\N
20178871,17.70,\N
20179806,20.46,\N
20180186,17.58,\N
20183548,17.73,\N
20184266,19.49,\N
20184990,16.41,2.039
20185702,18.10,\N
20185716,17.95,0.629
20185851,18.31,0.863
20185853,16.92,\N
20186822,17.80,\N
20186823,19.11,\N
20186844,17.45,\N
20187026,17.37,\N
20187040,19.20,0.430
20188174,17.48,\N
20188452,17.50,\N
20189008,16.38,\N
20189011,19.08,\N
20189040,19.87,\N
20189058,16.65,\N
20189062,18.39,\N
20189173,18.92,\N
20189263,15.74,\N
20189552,16.94,\N
20189630,17.82,\N
20189700,19.15,\N
20189865,19.48,\N
20189973,17.57,\N
20190119,17.04,1.451
20190135,17.34,\N
20190161,16.73,3.041
20190166,17.26,1.045
20190208,18.20,\N
20190491,21.06,\N
20190758,18.41,\N
20190788,18.36,\N
20191094,20.16,\N
20192559,20.43,\N
20192563,17.33,\N
20192642,16.51,\N
20193178,17.76,\N
20194006,20.46,\N
20194126,17.87,\N
20194268,18.34,1.244
20194386,16.95,0.916
20196068,18.13,\N
20196256,16.10,\N
20196625,20.29,\N
20197588,17.12,\N
20198752,19.93,\N
20198856,17.06,0.742
20199003,18.16,\N
20199145,18.30,\N
20199801,19.36,\N
20200754,18.51,0.553
20200840,17.80,\N
20202411,17.77,\N
20202435,18.05,\N
20202683,19.78,\N
20203015,18.64,\N
20203217,18.75,\N
20203471,19.45,\N
20204131,19.94,\N
20204232,18.43,\N
20205378,18.84,\N
20205388,20.90,\N
20205744,18.27,\N
20206359,18.23,\N
20206378,18.76,0.376
20206910,17.28,\N
20207398,20.36,\N
20207945,19.61,0.423
20207970,18.15,\N
20208023,20.53,\N
20208115,20.85,\N
20208565,17.19,\N
20208617,17.88,\N
20209215,24.30,\N
20209924,16.29,1.861
20210012,16.74,\N
20211871,18.85,0.411
20211914,17.76,\N
20212359,16.72,1.261
20212546,17.72,\N
20213053,19.94,\N
20213869,17.82,\N
20214088,15.34,2.423
20214869,16.51,\N
20215167,18.91,\N
20215188,15.48,\N
20215442,18.53,1.075
20215588,19.42,0.488
20215757,17.88,0.780
20216115,18.93,\N
20216258,20.33,\N
20216523,20.70,\N
20216689,17.00,\N
20216707,17.55,\N
20216985,21.34,\N
20217013,18.80,\N
20217390,18.82,\N
20217430,19.55,\N
20217628,16.68,1.4
20217796,17.23,\N
20217807,18.37,\N
20217837,19.27,\N
20218017,19.82,0.451
20218863,16.34,1.237
20219021,16.93,\N
20219071,17.20,0.657
20219527,17.00,\N
20220124,18.76,0.609
20220839,17.45,\N
20220909,18.16,\N
20221455,19.52,\N
20221787,21.28,\N
20221980,19.11,0.432
20222008,19.18,\N
20222073,18.10,\N
20222165,17.91,\N
20222869,17.75,\N
20223456,18.29,\N
20224926,17.60,\N
20225312,21.94,\N
20225416,17.36,1.651
20225586,18.48,\N
20225900,17.96,\N
20226198,18.86,\N
20226219,18.18,\N
20226514,20.16,\N
20226554,19.62,0.482
20228368,18.63,\N
20228502,20.41,0.302
20228587,19.57,\N
20229007,17.07,\N
20229672,17.91,\N
20230089,19.46,\N
20230111,19.27,\N
20230118,17.09,1.166
20230420,19.22,\N
20230549,20.78,0.217
20230599,17.82,\N
20230979,16.58,1.522
20231134,17.17,\N
20231792,18.50,\N
20231937,17.51,0.55
20232368,18.31,\N
20232382,17.25,1.123
20232691,19.86,\N
20234061,17.69,2.900
20234145,21.58,0.344
20234341,18.93,0.344
20235086,17.36,1.024
20235700,18.57,\N
20235756,18.58,1.136
20236716,17.92,\N
20237442,18.16,\N
20237551,18.44,0.630
20237805,17.40,0.703
20238063,16.57,1.470
20238456,19.43,0.328
20239849,18.65,0.450
20240320,20.28,\N
20241370,17.42,0.764
20241596,17.23,1.548
20241662,17.66,0.898
20242147,17.03,1.687
20242187,17.99,0.605
20242191,19.02,0.370
20242211,18.19,\N
20242216,15.59,\N
20242450,14.64,2.914
20242643,17.39,1.989
20242708,18.11,\N
20243025,16.05,2.123
20243147,17.39,0.912
20243298,15.66,\N
20243566,17.37,0.881
20244670,18.15,\N
20244977,18.36,0.495
20246138,18.25,0.588
20247156,18.16,1.655
20247360,19.36,\N
